year,world,europe,northAmericaOceania,latinAmerica,middleEastNorthAfrica,subSaharanAfrica,russiaCentralAsia,eastAsia,southSoutheastAsia
1800,3183,3262,3095,3083,3165,3033,3347,3201,3144
1801,3183,3262,3095,3083,3165,3033,3347,3201,3144
1802,3183,3262,3096,3083,3166,3033,3347,3201,3144
1803,3183,3262,3097,3083,3166,3033,3347,3201,3144
1804,3183,3263,3098,3083,3166,3033,3347,3201,3144
1805,3183,3263,3099,3083,3166,3033,3347,3201,3144
1806,3185,3267,3100,3083,3167,3033,3348,3202,3145
1807,3186,3271,3101,3084,3168,3034,3349,3203,3145
1808,3187,3274,3101,3084,3169,3034,3349,3203,3146
1809,3188,3277,3102,3085,3170,3035,3350,3204,3146
1810,3189,3281,3103,3086,3170,3036,3351,3205,3147
1811,3190,3285,3104,3086,3171,3036,3352,3205,3148
1812,3192,3288,3104,3087,3172,3037,3352,3206,3148
1813,3193,3292,3105,3087,3173,3038,3353,3207,3149
1814,3194,3296,3106,3088,3174,3038,3354,3207,3149
1815,3195,3300,3107,3089,3175,3039,3354,3208,3149
1816,3196,3300,3108,3089,3175,3039,3355,3209,3150
1817,3197,3301,3109,3090,3176,3040,3356,3209,3150
1818,3198,3302,3111,3090,3177,3041,3356,3210,3151
1819,3199,3303,3112,3091,3178,3041,3357,3211,3151
1820,3200,3303,3114,3091,3179,3042,3358,3211,3152
1821,3201,3304,3114,3092,3179,3042,3358,3212,3152
1822,3202,3305,3115,3093,3180,3043,3359,3213,3153
1823,3203,3306,3116,3093,3181,3044,3360,3213,3153
1824,3204,3307,3116,3094,3181,3044,3360,3214,3154
1825,3204,3308,3117,3095,3182,3045,3361,3215,3155
1826,3226,3334,3137,3114,3202,3064,3382,3235,3174
1827,3247,3360,3157,3133,3222,3083,3403,3256,3194
1828,3268,3385,3177,3153,3242,3102,3424,3276,3214
1829,3289,3411,3198,3172,3262,3122,3445,3296,3234
1830,3310,3437,3218,3192,3282,3141,3467,3316,3254
1831,3331,3462,3237,3211,3302,3160,3488,3337,3273
1832,3352,3487,3257,3231,3322,3179,3509,3357,3293
1833,3374,3513,3276,3250,3342,3198,3530,3377,3313
1834,3395,3539,3296,3269,3362,3217,3551,3397,3333
1835,3416,3564,3315,3289,3380,3237,3572,3418,3352
1836,3420,3565,3332,3293,3384,3241,3578,3423,3357
1837,3425,3565,3349,3298,3389,3246,3583,3428,3362
1838,3430,3566,3365,3303,3394,3251,3588,3433,3366
1839,3434,3567,3382,3307,3399,3255,3593,3438,3371
1840,3439,3567,3398,3312,3404,3260,3598,3443,3376
