Data Figure 1.1: Data series on Gross National Disposable Income (2025 Euros PPP) (monthly);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx Sheet A11m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America Oceania;Latin America;Middle East North Africa;Sub-Saharan Africa;Russia Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI
1970;529;1 359;1 823;601;547;204;899;205;119;1 674;2 076;1 247;1 598;1 440;1 620;1 941;1 927;1 842;1 635;674;1 863;1 757;1 803;1 449;387;1 295;474;570;424;805;472;2 031;530;234;798;174;1 453;494;729;230;290;98;208;75;167;200;58;31;708;159;956;830;84;1 113;196;291;306;116;98;121;37;138;220;210;79;233
1971;541;1 402;1 859;625;588;213;928;211;119;1 714;2 123;1 292;1 658;1 488;1 641;1 986;2 028;1 841;1 702;715;1 901;1 780;1 820;1 573;409;1 326;517;615;440;812;483;2 324;490;242;885;177;2 302;513;753;237;302;98;214;76;172;232;57;31;718;163;992;852;86;1 152;209;323;322;103;97;126;37;136;228;213;81;247
1972;559;1 458;1 929;656;643;213;951;220;119;1 778;2 197;1 386;1 716;1 552;1 691;2 017;2 117;1 876;1 787;748;1 978;1 842;1 835;1 613;420;1 337;566;600;462;855;499;2 853;586;241;1 006;180;2 933;541;782;232;303;103;217;79;159;236;56;30;707;163;1 015;877;87;1 236;219;358;345;95;95;133;37;137;235;216;80;247
1973;584;1 535;2 019;691;671;215;1 021;233;122;1 856;2 289;1 480;1 808;1 656;1 792;2 115;2 198;1 953;1 879;784;2 072;1 942;1 874;1 694;412;1 368;628;556;483;898;511;4 188;595;240;1 072;182;3 142;552;787;244;309;100;220;77;129;238;56;30;717;165;1 097;931;90;1 320;247;396;374;99;95;145;37;142;252;232;77;251
1974;595;1 571;1 997;719;835;222;1 048;229;124;1 871;2 243;1 553;1 871;1 616;1 870;2 185;2 268;1 999;1 897;836;2 040;1 978;1 898;1 766;422;1 423;668;556;502;923;527;9 643;612;244;1 117;188;9 278;568;782;245;306;95;224;73;137;260;55;31;741;169;1 138;942;90;1 285;266;393;391;97;95;153;37;144;272;235;78;258
1975;594;1 561;1 978;727;832;218;1 085;235;127;1 866;2 186;1 537;1 847;1 586;1 821;2 143;2 372;2 042;1 856;876;2 018;1 983;1 904;1 723;428;1 383;682;465;498;949;546;10 474;611;260;1 092;196;8 473;583;792;225;314;90;215;76;125;253;52;35;732;165;1 186;966;93;1 311;280;405;408;96;99;157;38;145;264;241;78;265
1976;613;1 627;2 062;750;915;216;1 116;236;131;1 962;2 316;1 568;1 921;1 635;1 940;2 247;2 486;2 053;1 914;917;2 108;2 071;1 941;1 695;426;1 363;733;477;511;957;560;10 503;615;282;1 227;210;9 409;635;848;207;336;76;213;83;123;258;60;39;727;164;1 224;990;87;1 348;313;453;437;98;101;163;39;147;279;256;84;280
1977;628;1 671;2 133;766;932;216;1 142;246;137;2 028;2 353;1 597;1 976;1 657;1 981;2 276;2 560;2 014;1 965;968;2 188;2 121;1 962;1 643;427;1 424;749;520;523;961;571;10 648;620;291;1 196;217;9 631;641;858;203;340;71;227;92;125;272;62;39;706;161;1 262;1 001;92;1 395;346;488;461;101;104;174;40;152;303;275;94;289
1978;642;1 722;2 220;782;901;210;1 158;261;143;2 103;2 396;1 603;2 050;1 726;2 036;2 301;2 624;2 037;2 006;1 011;2 287;2 154;1 988;1 625;443;1 358;767;551;555;1 014;577;8 720;668;320;1 049;216;8 332;638;910;187;358;66;240;88;137;251;66;36;708;157;1 288;1 007;100;1 458;377;545;481;105;108;183;42;159;310;296;93;303
1979;655;1 776;2 271;811;937;205;1 163;274;143;2 182;2 453;1 590;2 113;1 780;2 160;2 338;2 708;2 113;2 063;1 038;2 340;2 201;2 025;1 663;439;1 427;794;587;574;1 075;577;10 198;691;354;886;220;9 303;621;1 002;180;348;61;240;94;143;232;69;33;714;152;1 302;1 002;105;1 526;408;582;507;107;103;189;43;163;318;305;97;320
1980;658;1 797;2 251;840;905;205;1 192;278;148;2 212;2 419;1 611;2 145;1 748;2 225;2 398;2 842;2 138;2 123;1 030;2 311;2 230;2 070;1 686;424;1 418;843;623;586;1 131;577;11 712;681;366;687;223;9 102;591;972;178;296;61;247;93;134;231;73;35;741;152;1 350;1 008;108;1 555;393;613;533;107;105;204;45;171;325;315;91;331
1981;658;1 796;2 287;825;868;203;1 202;287;151;2 222;2 380;1 590;2 156;1 762;2 220;2 361;2 886;2 135;2 135;1 009;2 347;2 272;2 110;1 745;424;1 288;783;646;585;1 196;591;11 015;680;367;594;210;8 802;608;878;178;288;60;249;98;131;214;75;36;755;150;1 370;1 008;112;1 610;415;642;560;105;109;211;47;174;327;325;94;344
1982;649;1 805;2 220;793;824;195;1 201;299;154;2 215;2 463;1 601;2 188;1 803;2 225;2 322;2 876;2 164;2 141;1 009;2 274;2 213;2 091;1 755;424;1 215;762;533;571;1 136;576;9 651;701;401;660;225;6 798;615;821;172;275;60;248;90;131;196;74;33;727;149;1 381;994;119;1 663;444;667;570;108;110;211;49;181;326;336;99;358
1983;654;1 833;2 285;760;806;188;1 224;311;159;2 261;2 528;1 613;2 188;1 882;2 251;2 368;2 983;2 199;2 145;1 034;2 353;2 223;2 072;1 768;428;1 240;718;508;564;1 073;552;8 714;718;452;717;218;5 547;630;785;169;262;65;243;82;120;179;75;33;688;147;1 409;1 013;126;1 714;494;716;591;111;114;223;50;186;324;351;104;369
1984;670;1 878;2 416;772;794;189;1 226;330;162;2 335;2 638;1 635;2 209;1 933;2 322;2 432;3 168;2 296;2 181;1 060;2 495;2 333;2 134;1 807;425;1 245;741;523;566;1 092;552;8 631;736;474;665;222;4 895;657;784;171;246;76;237;80;98;174;69;31;699;149;1 414;1 011;138;1 786;536;780;627;111;116;233;51;190;287;362;110;385
1985;679;1 919;2 487;784;776;187;1 232;347;164;2 397;2 732;1 673;2 248;1 991;2 382;2 442;3 370;2 341;2 233;1 068;2 567;2 419;2 202;1 832;431;1 143;787;520;571;1 110;552;8 099;744;471;637;230;4 246;669;796;166;247;64;238;94;104;177;70;33;667;149;1 436;999;149;1 878;567;808;631;111;119;235;52;195;261;370;114;382
1986;689;1 959;2 541;795;783;186;1 251;360;167;2 450;2 869;1 720;2 280;2 061;2 439;2 486;3 495;2 404;2 269;1 086;2 628;2 443;2 238;1 797;444;1 226;836;547;594;1 040;556;6 240;726;473;574;248;4 730;701;807;169;240;66;247;100;93;176;71;38;645;149;1 471;1 002;155;1 930;624;895;660;113;122;244;51;200;264;383;115;381
1987;700;2 007;2 604;809;768;183;1 252;379;172;2 482;2 884;1 813;2 329;2 144;2 523;2 559;3 548;2 491;2 315;1 101;2 696;2 496;2 293;1 792;444;1 238;855;587;613;1 048;567;6 162;695;494;543;238;4 118;753;808;169;226;71;252;102;89;166;69;45;645;148;1 467;1 008;164;2 020;700;1 012;702;116;124;249;49;204;271;413;116;388
1988;716;2 079;2 686;799;768;185;1 272;397;180;2 571;2 888;1 905;2 424;2 250;2 624;2 621;3 492;2 539;2 421;1 116;2 783;2 580;2 344;1 831;455;1 195;835;621;629;1 044;561;5 685;659;505;501;253;4 360;752;799;164;219;66;260;109;92;174;67;37;654;149;1 491;1 025;169;2 148;774;1 087;740;116;131;259;43;209;283;459;119;403
1989;726;2 135;2 753;795;759;187;1 286;406;188;2 659;2 903;1 994;2 514;2 301;2 705;2 728;3 488;2 581;2 509;1 103;2 862;2 596;2 387;1 833;463;1 051;854;680;629;1 067;539;6 114;677;519;505;254;4 024;744;762;158;234;63;264;111;88;178;67;41;651;151;1 507;1 040;168;2 248;817;1 161;738;118;137;277;42;211;292;506;123;417
1990;733;2 177;2 771;788;794;194;1 287;414;196;2 780;2 924;2 050;2 570;2 311;2 746;2 758;3 546;2 572;2 578;1 097;2 888;2 577;2 376;1 812;458;1 081;808;700;644;1 107;534;6 476;663;564;551;265;4 193;805;750;143;220;66;263;106;86;231;64;43;627;151;1 550;993;166;2 351;888;1 227;739;122;141;297;41;213;296;554;126;437
1991;726;2 169;2 737;801;786;191;1 156;430;201;2 871;2 945;2 092;2 583;2 291;2 774;2 818;3 626;2 512;2 603;968;2 857;2 510;2 354;1 706;475;1 183;807;744;655;1 131;532;6 327;627;599;602;277;4 387;804;620;127;209;58;258;126;85;230;60;49;628;150;1 384;905;175;2 422;974;1 308;753;125;141;318;40;220;290;592;141;449
1992;727;2 165;2 791;811;817;188;1 036;445;207;2 917;3 016;2 093;2 609;2 284;2 789;2 809;3 734;2 432;2 616;887;2 922;2 499;2 388;1 695;479;1 299;789;828;667;1 152;530;6 153;636;600;621;263;4 506;839;677;109;203;58;246;119;83;234;63;50;624;147;1 256;795;189;2 435;1 029;1 383;733;128;144;337;44;223;289;633;150;460
1993;729;2 154;2 834;827;824;183;971;460;214;2 862;3 041;2 064;2 582;2 334;2 766;2 865;3 813;2 351;2 597;871;2 966;2 521;2 467;1 748;497;1 358;809;879;689;1 168;525;5 837;615;611;612;255;4 126;891;719;92;198;62;270;118;82;218;55;59;637;143;1 230;687;206;2 413;1 092;1 465;753;131;148;358;49;219;290;676;161;466
1994;739;2 206;2 918;857;805;181;869;478;226;2 905;3 202;2 092;2 627;2 433;2 819;2 959;4 011;2 463;2 626;905;3 052;2 620;2 528;1 838;501;1 418;851;905;716;1 194;538;5 926;593;596;598;277;3 881;820;722;84;198;64;262;121;82;208;33;44;648;142;1 149;558;221;2 429;1 186;1 566;776;135;156;381;52;223;298;722;171;487
1995;757;2 261;2 966;849;816;182;906;510;237;2 939;3 299;2 160;2 675;2 439;2 913;3 030;4 165;2 533;2 692;955;3 103;2 656;2 592;1 903;495;1 356;876;994;738;1 082;556;6 198;603;607;598;253;3 844;868;715;81;204;68;258;114;80;211;53;42;657;145;1 270;503;245;2 489;1 289;1 638;772;139;164;405;56;226;310;770;184;513
1996;771;2 309;3 040;867;852;188;867;524;248;2 963;3 378;2 209;2 716;2 492;2 966;3 114;4 357;2 586;2 742;1 003;3 186;2 688;2 672;1 919;504;1 410;879;1 060;735;1 129;563;6 121;615;626;633;280;3 818;915;767;76;208;70;265;127;82;214;54;51;682;153;1 219;475;252;2 561;1 384;1 737;763;141;173;430;59;225;317;802;185;538
1997;790;2 378;3 138;897;873;188;872;543;255;3 006;3 430;2 280;2 796;2 614;3 043;3 210;4 580;2 664;2 843;1 024;3 289;2 783;2 761;1 994;482;1 504;891;1 117;745;1 193;580;6 097;609;647;642;268;3 730;965;800;71;217;66;258;120;79;216;56;54;689;153;1 226;476;269;2 583;1 458;1 812;776;146;179;441;62;226;330;768;196;563
1998;795;2 452;3 243;907;897;190;830;535;248;3 074;3 504;2 368;2 893;2 719;3 085;3 299;4 705;2 795;2 940;1 059;3 401;2 870;2 874;2 032;495;1 538;875;1 150;740;1 243;593;5 703;630;670;649;286;3 661;984;850;69;220;65;262;131;87;216;62;65;684;158;1 138;480;267;2 544;1 376;1 878;737;150;184;361;67;224;319;694;205;549
