Data Figure 1.10: Forest area by world region (million hectares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sheet extracted from Planet Paper: Chanceletal2026Appendix_LandUse.xlsx Sheet ""Appendix Table A5ag""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;EastAsia;Europe;Latin America;MENA;North America Oceania;Russia CentralAsia;South SouthEast Asia;SubSaharanAfrica;World;;;;;;;;;;;;;;;;;;;;;;
1990;210;186;1136;44;848;826;322;771;4344;;;;;;;;;;;;;;;;;;;;;;
1991;212;187;1128;44;847;826;319;768;4333;;;;;;;;;;;;;;;;;;;;;;
1992;214;188;1121;44;847;826;317;765;4322;;;;;;;;;;;;;;;;;;;;;;
1993;216;188;1113;44;847;826;314;761;4311;;;;;;;;;;;;;;;;;;;;;;
1994;218;189;1105;44;847;826;312;758;4301;;;;;;;;;;;;;;;;;;;;;;
1995;220;190;1097;44;847;826;309;755;4290;;;;;;;;;;;;;;;;;;;;;;
1996;222;191;1090;44;847;826;307;751;4279;;;;;;;;;;;;;;;;;;;;;;
1997;224;191;1082;44;847;826;304;748;4269;;;;;;;;;;;;;;;;;;;;;;
1998;226;192;1074;44;847;827;302;745;4258;;;;;;;;;;;;;;;;;;;;;;
1999;228;193;1066;44;847;827;299;742;4247;;;;;;;;;;;;;;;;;;;;;;
2000;230;194;1059;44;847;827;297;738;4237;;;;;;;;;;;;;;;;;;;;;;
2001;232;194;1053;45;848;828;297;735;4233;;;;;;;;;;;;;;;;;;;;;;
2002;235;195;1048;45;848;829;297;732;4229;;;;;;;;;;;;;;;;;;;;;;
2003;237;195;1043;45;849;830;298;728;4226;;;;;;;;;;;;;;;;;;;;;;
2004;240;196;1038;45;850;831;298;725;4222;;;;;;;;;;;;;;;;;;;;;;
2005;242;196;1032;45;851;832;298;721;4219;;;;;;;;;;;;;;;;;;;;;;
2006;244;197;1027;45;852;833;298;718;4215;;;;;;;;;;;;;;;;;;;;;;
2007;247;198;1022;45;853;834;299;715;4212;;;;;;;;;;;;;;;;;;;;;;
2008;249;198;1017;45;853;834;299;711;4208;;;;;;;;;;;;;;;;;;;;;;
2009;251;199;1011;45;854;835;299;708;4205;;;;;;;;;;;;;;;;;;;;;;
2010;254;199;1006;45;855;836;299;704;4201;;;;;;;;;;;;;;;;;;;;;;
2011;256;200;1003;46;856;837;299;700;4197;;;;;;;;;;;;;;;;;;;;;;
2012;258;200;1000;46;857;837;299;696;4193;;;;;;;;;;;;;;;;;;;;;;
2013;260;201;996;46;858;838;298;692;4189;;;;;;;;;;;;;;;;;;;;;;
2014;261;201;993;46;859;838;298;688;4185;;;;;;;;;;;;;;;;;;;;;;
2015;263;202;990;46;860;839;297;684;4181;;;;;;;;;;;;;;;;;;;;;;
2016;265;202;986;46;861;840;297;681;4178;;;;;;;;;;;;;;;;;;;;;;
2017;267;203;982;46;861;841;297;678;4175;;;;;;;;;;;;;;;;;;;;;;
2018;269;204;977;46;861;842;297;675;4172;;;;;;;;;;;;;;;;;;;;;;
2019;270;204;973;46;861;843;298;672;4168;;;;;;;;;;;;;;;;;;;;;;
2020;272;205;969;47;861;844;298;668;4165;;;;;;;;;;;;;;;;;;;;;;
2021;274;205;965;47;861;845;297;666;4160;;;;;;;;;;;;;;;;;;;;;;
2022;275;205;960;47;861;846;296;663;4155;;;;;;;;;;;;;;;;;;;;;;
2023;277;206;956;47;861;847;296;660;4150;;;;;;;;;;;;;;;;;;;;;;
2024;279;206;951;47;861;848;295;657;4145;;;;;;;;;;;;;;;;;;;;;;
2025;280;206;946;47;861;849;295;654;4140;;;;;;;;;;;;;;;;;;;;;;
Sources: own calculations based on OWID and FAO, see full dataset in Table A7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Appendix Table A5c. Net forest cover variation by world region over 1990-2025 (million hectares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;East Asia;Europe;Latin America;MENA;North America Oceania;Russia                                                   Central Asia;South SE Asia;Sub Saharan Africa;World;;;;;;;;;;;;;;;;;;;;;;
1990-2025;70;20;-190;3;14;23;-27;-117;-203;;;;;;;;;;;;;;;;;;;;;;
1990-2007;36;11;-114;1;5;8;-23;-57;-132;;;;;;;;;;;;;;;;;;;;;;
2008-2025;31;8;-70;2;8;14;-4;-57;-68;;;;;;;;;;;;;;;;;;;;;;
Sources: own calculations based on OWID and FAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
