Data Figure 1.11: Forest area by world region, 1800-2100 (million hectares) (BAU scenario);;;;;;;;;;;;;;;;;;;;;;
"Sheet extracted from Planet Paper: Chanceletal2026Appendix_LandUse.xlsx Sheet ""AppendixTable12""";;;;;;;;;;;;;;;;;;;;;;
;EastAsia;Europe;Latin America;MENA;North America Oceania;Russia CentralAsia;South SouthEast Asia;SubSaharanAfrica;;;;;;;;;;;;;;
;EastAsia;Europe;Latin America;MENA;North America Oceania;Russia CentralAsia;South SouthEast Asia;SubSaharanAfrica;World;;;;;;;;;;;;;
1800;278;202;1288;112;1063;907;386;953;5189;;;;;;;;;;;;;
1810;275;201;1287;109;1061;905;384;952;5173;;;;;;;;;;;;;
1820;268;199;1285;106;1058;903;382;950;5150;;;;;;;;;;;;;
1830;264;196;1283;101;1054;898;379;948;5125;;;;;;;;;;;;;
1840;260;195;1281;96;1050;895;377;946;5099;;;;;;;;;;;;;
1850;261;193;1277;95;1040;891;375;940;5071;;;;;;;;;;;;;
1860;274;191;1275;93;1035;887;373;937;5065;;;;;;;;;;;;;
1870;275;188;1273;91;1014;882;372;932;5026;;;;;;;;;;;;;
1880;274;185;1266;88;999;876;369;928;4985;;;;;;;;;;;;;
1890;270;182;1260;86;971;868;367;923;4926;;;;;;;;;;;;;
1900;267;179;1250;83;952;857;364;916;4867;;;;;;;;;;;;;
1910;263;179;1239;81;934;859;360;907;4824;;;;;;;;;;;;;
1920;265;178;1226;78;912;852;355;896;4761;;;;;;;;;;;;;
1930;267;177;1216;72;890;849;350;878;4699;;;;;;;;;;;;;
1940;269;176;1202;67;866;858;343;840;4621;;;;;;;;;;;;;
1950;255;178;1180;49;833;828;333;805;4462;;;;;;;;;;;;;
1960;246;180;1171;47;833;825;330;799;4432;;;;;;;;;;;;;
1970;235;182;1159;46;835;823;327;799;4407;;;;;;;;;;;;;
1980;215;183;1146;45;839;822;323;790;4365;;;;;;;;;;;;;
1990;210;186;1136;44;848;826;322;771;4344;;;;;;;;;;;;;
2000;230;194;1059;44;847;827;297;738;4237;;;;;;;;;;;;;
2010;254;199;1006;45;855;836;299;704;4201;;;;;;;;;;;;;
2020;272;205;969;47;861;844;298;668;4165;;;;;;;;;;;;;
2030;278;205;925;48;869;853;298;634;4108;;;;;;;;;;;;;
2040;278;205;880;49;876;862;298;589;4036;;;;;;;;;;;;;
2050;278;205;835;50;884;871;299;544;3965;;;;;;;;;;;;;
2060;278;205;791;51;891;880;299;499;3894;;;;;;;;;;;;;
2070;278;205;746;52;899;889;299;455;3822;;;;;;;;;;;;;
2080;278;205;701;53;906;898;300;410;3752;;;;;;;;;;;;;
2090;278;205;657;55;914;907;300;365;3680;;;;;;;;;;;;;
2100;278;205;612;56;922;907;300;321;3600;;;;;;;;;;;;;
parameter cropland/forest (see notes);0,25;;-0,368720943955724;0,197882161896123;0,070402633176458;0,0745052335644187;0,00957945513054237;-0,520125599875536;-0,135622081561975;;;;;;;;;;;;;
"Note: light grey numbers to be improved with 1800-1990 regional forest data access (when I write this, Hyde server to access this data is not available); here we assume that 25% of new cropland and grazing land is taken from forest land, this value is a scaling parameter allowing us to recover global forest land area that we have (around 5200 hectares in 1800); this parameter also corresponds to value inferred from 1990-2020 period";;;;;;;;;;;;;;;;;;;;;;
2030-2100 projections: we use growth rate over 2000-2020 under the constraint that forest area cannot go over 1800 value (assumed biological constraint);;;;;;;;;;;;;;;;;;;;;;
Consistency check: forest area evolution over 2020-2100;5;0;-357;9;61;63;3;-348;-565;;;;;;;;;;;;;
Consistency check: agr. land evolution over 2020-2100;33;-27;450;-4;-272;-244;4;119;389;;;;;;;;;;;;;
;;;;;;;forest change;-178;-565;;;;;;;;;;;;;
;;;;;;;agr. Land change;84;692;;;;;;;;;;;;;
;;;;;;;agr. Land change LatAm;100;-82%;;;;;;;;;;;;;
;;;;;;;share agr land covered by forest;-212%;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Appendix Table 12f. Forest area by world region, 1800-2100 (million hectares) (Sustainable Scenario);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;EastAsia;Europe;Latin America;MENA;North America Oceania;Russia CentralAsia;South SouthEast Asia;SubSaharanAfrica;World;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1800;278;202;1288;112;1063;907;386;953;5189;;;;;;;;;;;;;
1810;275;201;1287;109;1061;905;384;952;5173;;;;;;;;;;;;;
1820;268;199;1285;106;1058;903;382;950;5150;;;;;;;;;;;;;
1830;264;196;1283;101;1054;898;379;948;5125;;;;;;;;;;;;;
1840;260;195;1281;96;1050;895;377;946;5099;;;;;;;;;;;;;
1850;261;193;1277;95;1040;891;375;940;5071;;;;;;;;;;;;;
1860;274;191;1275;93;1035;887;373;937;5065;;;;;;;;;;;;;
1870;275;188;1273;91;1014;882;372;932;5026;;;;;;;;;;;;;
1880;274;185;1266;88;999;876;369;928;4985;;;;;;;;;;;;;
1890;270;182;1260;86;971;868;367;923;4926;;;;;;;;;;;;;
1900;267;179;1250;83;952;857;364;916;4867;;;;;;;;;;;;;
1910;263;179;1239;81;934;859;360;907;4824;;;;;;;;;;;;;
1920;265;178;1226;78;912;852;355;896;4761;;;;;;;;;;;;;
1930;267;177;1216;72;890;849;350;878;4699;;;;;;;;;;;;;
1940;269;176;1202;67;866;858;343;840;4621;;;;;;;;;;;;;
1950;255;178;1180;49;833;828;333;805;4462;;;;;;;;;;;;;
1960;246;180;1171;47;833;825;330;799;4432;;;;;;;;;;;;;
1970;235;182;1159;46;835;823;327;799;4407;;;;;;;;;;;;;
1980;215;183;1146;45;839;822;323;790;4365;;;;;;;;;;;;;
1990;210;186;1136;44;848;826;322;771;4344;;;;;;;;;;;;;
2000;230;194;1059;44;847;827;297;738;4237;;;;;;;;;;;;;
2010;254;199;1006;45;855;836;299;704;4201;;;;;;;;;;;;;
2020;272;205;969;47;861;844;298;668;4165;;;;;;;;;;;;;
2030;278;205;930;48;869;853;292;630;4103;;;;;;;;;;;;;
2040;278;205;958;49;876;862;300;649;4176;;;;;;;;;;;;;
2050;278;205;987;50;884;871;309;668;4251;;;;;;;;;;;;;
2060;278;205;1016;51;891;880;319;688;4328;;;;;;;;;;;;;
2070;278;205;1067;52;899;889;335;723;4447;;;;;;;;;;;;;
2080;278;205;1120;53;906;898;351;759;4571;;;;;;;;;;;;;
2090;278;205;1176;55;914;907;369;797;4700;;;;;;;;;;;;;
2100;278;205;1235;56;922;907;387;837;4827;;1,15877616840486;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Annual growth rate for tropical areas over 2030-2060 ;0,30%;;2030: for Lat Am and SSA we assume 2% decline as compared to 2020. 2030-2100: assume regrowth in tropical areas, as per table to the left;;;;;;;;;;;;;;;;;;;
Annual growth rate for tropical areas over 2060-2100 ;0,49%;;Note: 3% per decade rate is half of what we observe in East Asia over 2010-2020 and about what we observe in Europe over same period. ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;EastAsia;Europe;Latin America;MENA;North America Oceania;Russia CentralAsia;South SouthEast Asia;SubSaharanAfrica;World;;;;;;;;;;;;;
2020-2010;1,07;1,03;0,96;1,02;1,01;1,01;0,99;0,95;0,99;;116%;;;;;;;;;;;
2100-2020;5;0;266;9;61;63;90;168;661;;661;;;;;;;;;;;
;;;;;;;;;Share of grazing land into forest;;88%;;;;;;;;;;;
