Data Figure 1.15: Total World GDP and GNE (Trillions Euros PPP 2025);;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Planet Paper: Chanceletal2026Appendix_MacroScenarios.xlsx Sheet R0;;;;;;;;;;;;;;;;;;;;;;;
;Gross Domestic Product;;;;;Gross National Expenditure;;;;;;Share of material sectors in GNE;;;;Share of manufacturing in GNE;;;;Share of energy in GNE;;;
Year;PI2;PC1;SC2;PC1/PI2;SC2/PI2;PI2;PC1;SC2;PI2/PI2;PC1/PI2;SC2/PI2;PI2;PC1;SC2;SC2/PI2;PI2;PC1;SC2;SC2/PI2;PI2;PC1;SC2;SC2/PI2
1970;23,4;23,4;23,4;100;100;24,6;24,6;24,6;100;100;100;53%;53%;53%;100;11%;11%;11%;100;5%;5%;5%;100
1971;24,5;24,5;24,5;100;100;25,7;25,7;25,7;100;100;100;53%;53%;53%;100;11%;11%;11%;100;5%;5%;5%;100
1972;25,8;25,8;25,8;100;100;27,2;27,2;27,2;100;100;100;53%;53%;53%;100;11%;11%;11%;100;5%;5%;5%;100
1973;27,5;27,5;27,5;100;100;29,2;29,2;29,2;100;100;100;54%;54%;54%;100;12%;12%;12%;100;5%;5%;5%;100
1974;28,5;28,5;28,5;100;100;30,7;30,7;30,7;100;100;100;54%;54%;54%;100;12%;12%;12%;100;6%;6%;6%;100
1975;29,0;29,0;29,0;100;100;31,0;31,0;31,0;100;100;100;53%;53%;53%;100;11%;11%;11%;100;5%;5%;5%;100
1976;30,5;30,5;30,5;100;100;32,4;32,4;32,4;100;100;100;53%;53%;53%;100;12%;12%;12%;100;5%;5%;5%;100
1977;31,8;31,8;31,8;100;100;33,7;33,7;33,7;100;100;100;53%;53%;53%;100;12%;12%;12%;100;5%;5%;5%;100
1978;33,1;33,1;33,1;100;100;35,1;35,1;35,1;100;100;100;53%;53%;53%;100;12%;12%;12%;100;5%;5%;5%;100
1979;34,4;34,4;34,4;100;100;36,8;36,8;36,8;100;100;100;53%;53%;53%;100;12%;12%;12%;100;5%;5%;5%;100
1980;35,1;35,1;35,1;100;100;38,2;38,2;38,2;100;100;100;53%;53%;53%;100;12%;12%;12%;100;5%;5%;5%;100
1981;35,7;35,7;35,7;100;100;38,7;38,7;38,7;100;100;100;52%;52%;52%;100;12%;12%;12%;100;5%;5%;5%;100
1982;35,9;35,9;35,9;100;100;38,5;38,5;38,5;100;100;100;51%;51%;51%;100;12%;12%;12%;100;5%;5%;5%;100
1983;36,9;36,9;36,9;100;100;38,8;38,8;38,8;100;100;100;51%;51%;51%;100;11%;11%;11%;100;5%;5%;5%;100
1984;38,4;38,4;38,4;100;100;40,5;40,5;40,5;100;100;100;51%;51%;51%;100;12%;12%;12%;100;5%;5%;5%;100
1985;39,7;39,7;39,7;100;100;41,9;41,9;41,9;100;100;100;51%;51%;51%;100;12%;12%;12%;100;5%;5%;5%;100
1986;41,0;41,0;41,0;100;100;42,7;42,7;42,7;100;100;100;50%;50%;50%;100;12%;12%;12%;100;4%;4%;4%;100
1987;42,4;42,4;42,4;100;100;44,3;44,3;44,3;100;100;100;50%;50%;50%;100;12%;12%;12%;100;4%;4%;4%;100
1988;44,1;44,1;44,1;100;100;46,1;46,1;46,1;100;100;100;51%;51%;51%;100;12%;12%;12%;100;4%;4%;4%;100
