Data Figure 1.17: Decomposition: Emission Reduction Contribution from PC1-SD to SC2-FD;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Planet Paper: Chanceletal2026Appendix_Emission_Output.xlsx Sheet D0;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;Emission Reduction Contribution by Factor;;;;;;;;% Contribution;;;;;;;;;;
;"Total 
Reduction";Labor Hours Reduction;Sectoral Change Contribution;Electricity Share Contribution;Electricity Mix Contribution;Primary Energy Mix Contribution;Emission Intensity Contribution;Energy Efficiency Gains;Agriculture & Land Use Contribution ;Labor Hours Reduction;Sectoral Change Contribution;Electricity Share Contribution;Electricity Mix Contribution;Primary Energy Mix Contribution;Emission Intensity Contribution;Energy Efficiency Gains;Agriculture & Land Use Contribution ;;;
2025;-0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,2;0%;-0%;0%;0%;0%;0%;0%;100%;;;
2026;-3,3;-0,7;-0,2;-0,2;-0,8;-0,2;-0,1;-0,4;-0,9;21%;5%;5%;23%;5%;2%;12%;27%;;;
2027;-5,8;-1,4;-0,4;-0,4;-1,6;-0,3;-0,1;-0,8;-1,0;23%;6%;6%;27%;5%;2%;13%;17%;;;
2028;-8,3;-2,0;-0,5;-0,5;-2,4;-0,5;-0,2;-1,1;-1,1;24%;7%;6%;28%;6%;2%;13%;13%;;;
2029;-10,8;-2,6;-0,7;-0,7;-3,2;-0,6;-0,3;-1,4;-1,2;24%;7%;7%;30%;6%;3%;13%;11%;;;
2030;-13,4;-3,2;-0,9;-0,9;-4,1;-0,8;-0,4;-1,7;-1,3;24%;7%;7%;30%;6%;3%;13%;10%;;;
2031;-21,4;-4,7;-1,4;-1,1;-5,0;-1,0;-0,4;-2,0;-5,7;22%;6%;5%;23%;5%;2%;10%;27%;;;
2032;-23,9;-5,3;-1,6;-1,3;-5,9;-1,2;-0,5;-2,3;-5,8;22%;7%;6%;25%;5%;2%;10%;24%;;;
2033;-26,4;-5,9;-1,7;-1,6;-6,9;-1,4;-0,6;-2,5;-5,8;22%;7%;6%;26%;5%;2%;10%;22%;;;
2034;-29,0;-6,5;-1,9;-1,8;-8,0;-1,6;-0,7;-2,7;-5,8;22%;7%;6%;27%;5%;2%;9%;20%;;;
2035;-31,6;-7,1;-2,1;-2,0;-9,1;-1,8;-0,8;-2,9;-5,9;22%;7%;6%;29%;6%;3%;9%;19%;;;
2036;-33,9;-7,7;-2,2;-2,4;-9,2;-2,3;-0,9;-3,2;-5,9;23%;7%;7%;27%;7%;3%;9%;18%;;;
2037;-36,3;-8,3;-2,4;-2,9;-9,5;-2,9;-1,0;-3,4;-6,0;23%;7%;8%;26%;8%;3%;9%;17%;;;
2038;-38,6;-8,9;-2,6;-3,3;-9,7;-3,4;-1,1;-3,5;-6,0;23%;7%;9%;25%;9%;3%;9%;16%;;;
2039;-41,1;-9,5;-2,8;-3,8;-9,9;-4,0;-1,2;-3,7;-6,1;23%;7%;9%;24%;10%;3%;9%;15%;;;
2040;-43,5;-10,1;-3,0;-4,2;-10,2;-4,6;-1,4;-3,9;-6,2;23%;7%;10%;23%;10%;3%;9%;14%;;;
2041;-46,5;-10,8;-3,1;-4,7;-10,5;-5,2;-1,5;-4,1;-6,8;23%;7%;10%;22%;11%;3%;9%;15%;;;
2042;-49,1;-11,4;-3,3;-5,1;-10,8;-5,8;-1,7;-4,2;-6,8;23%;7%;10%;22%;12%;3%;9%;14%;;;
2043;-51,8;-12,0;-3,5;-5,6;-11,1;-6,4;-1,8;-4,4;-6,9;23%;7%;11%;21%;12%;4%;8%;13%;;;
2044;-54,5;-12,7;-3,7;-6,1;-11,4;-7,1;-2,0;-4,6;-7,0;23%;7%;11%;21%;13%;4%;8%;13%;;;
2045;-57,3;-13,4;-3,9;-6,6;-11,8;-7,7;-2,2;-4,7;-7,0;23%;7%;11%;21%;14%;4%;8%;12%;;;
2046;-60,2;-14,0;-4,1;-7,1;-12,2;-8,5;-2,4;-4,9;-7,1;23%;7%;12%;20%;14%;4%;8%;12%;;;
2047;-63,2;-14,7;-4,2;-7,6;-12,6;-9,2;-2,6;-5,0;-7,2;23%;7%;12%;20%;15%;4%;8%;11%;;;
2048;-66,3;-15,4;-4,4;-8,1;-13,0;-10,0;-2,9;-5,1;-7,3;23%;7%;12%;20%;15%;4%;8%;11%;;;
2049;-69,5;-16,2;-4,6;-8,7;-13,5;-10,8;-3,1;-5,3;-7,3;23%;7%;12%;19%;16%;5%;8%;11%;;;
2050;-72,5;-16,9;-4,8;-9,2;-14,0;-11,6;-3,4;-5,4;-7,1;23%;7%;13%;19%;16%;5%;7%;10%;;;
2051;-74,1;-17,3;-5,0;-9,3;-14,0;-11,9;-3,6;-5,6;-7,4;23%;7%;13%;19%;16%;5%;8%;10%;;;
2052;-75,2;-17,7;-5,1;-9,4;-14,0;-12,1;-3,9;-5,6;-7,4;24%;7%;13%;19%;16%;5%;7%;10%;;;
2053;-76,3;-18,1;-5,2;-9,5;-14,0;-12,4;-4,1;-5,6;-7,5;24%;7%;12%;18%;16%;5%;7%;10%;;;
2054;-77,5;-18,5;-5,3;-9,6;-14,0;-12,7;-4,3;-5,6;-7,5;24%;7%;12%;18%;16%;6%;7%;10%;;;
2055;-78,6;-18,9;-5,4;-9,7;-14,0;-13,0;-4,6;-5,6;-7,5;24%;7%;12%;18%;16%;6%;7%;10%;;;
2056;-79,8;-19,3;-5,5;-9,8;-14,0;-13,2;-4,8;-5,6;-7,5;24%;7%;12%;18%;17%;6%;7%;9%;;;
2057;-81,0;-19,7;-5,6;-9,9;-14,0;-13,5;-5,1;-5,6;-7,6;24%;7%;12%;17%;17%;6%;7%;9%;;;
2058;-82,2;-20,1;-5,8;-10,0;-14,0;-13,8;-5,4;-5,6;-7,6;24%;7%;12%;17%;17%;7%;7%;9%;;;
2059;-83,4;-20,5;-5,9;-10,1;-14,0;-14,1;-5,6;-5,6;-7,6;25%;7%;12%;17%;17%;7%;7%;9%;;;
2060;-84,7;-20,9;-6,0;-10,2;-14,0;-14,4;-5,9;-5,6;-7,7;25%;7%;12%;16%;17%;7%;7%;9%;;;
2061;-86,8;-21,4;-6,1;-10,3;-13,9;-14,7;-6,2;-5,6;-8,5;25%;7%;12%;16%;17%;7%;6%;10%;;;
2062;-88,1;-21,8;-6,3;-10,4;-13,9;-15,0;-6,5;-5,6;-8,6;25%;7%;12%;16%;17%;7%;6%;10%;;;
2063;-89,4;-22,3;-6,4;-10,5;-13,9;-15,3;-6,9;-5,6;-8,6;25%;7%;12%;16%;17%;8%;6%;10%;;;
