Data Figure 1.18: Temperature Projections: Core Scenarios 2026-2100 ;;;;;;;;
For details see Planet Paper: Chanceletal2026Appendix_Emission_Output.xlsx sheets SC2_FD-PI1_SD;;;;;;;;
;;;;;;;;
;PC1_SD;PI1_SD;PC1_ID;PI2_ID;PC1_FD;PI1_FD;SC2_FD;
;Productivist Convergence - Slow Decarbonization;"Persistent Inequality - 
Slow Decarbonization";Productivist Convergence - Intermediate Decarbonization;Persistent Inequality - Intermediate Decarbonization;Productivist Convergence - Fast Decarbonization;Persistent Inequality - Fast Decarbonization;Sustainable Development - Fast Decarbonization;
2025;1,40;1,40;1,40;1,40;1,40;1,40;1,40;
2026;1,41;1,41;1,41;1,41;1,41;1,41;1,41;
2027;1,43;1,43;1,43;1,43;1,43;1,43;1,43;
2028;1,46;1,46;1,46;1,46;1,46;1,46;1,45;
2029;1,49;1,49;1,49;1,49;1,49;1,49;1,49;
2030;1,53;1,53;1,53;1,53;1,53;1,53;1,53;
2031;1,58;1,58;1,58;1,58;1,57;1,57;1,56;
2032;1,62;1,63;1,62;1,63;1,61;1,62;1,60;
2033;1,67;1,67;1,67;1,67;1,65;1,66;1,64;
2034;1,72;1,72;1,71;1,72;1,69;1,70;1,67;
2035;1,76;1,77;1,76;1,77;1,73;1,74;1,70;
2036;1,81;1,82;1,80;1,81;1,77;1,78;1,73;
2037;1,85;1,86;1,84;1,86;1,80;1,81;1,76;
2038;1,89;1,91;1,88;1,90;1,83;1,85;1,78;
2039;1,94;1,95;1,93;1,94;1,87;1,88;1,80;
2040;1,98;2,00;1,97;1,99;1,89;1,91;1,82;
2041;2,02;2,04;2,00;2,03;1,92;1,94;1,84;
2042;2,06;2,08;2,04;2,07;1,95;1,97;1,85;
2043;2,10;2,13;2,08;2,11;1,97;1,99;1,86;
2044;2,14;2,17;2,12;2,15;2,00;2,02;1,88;
2045;2,18;2,21;2,16;2,19;2,02;2,04;1,89;
2046;2,22;2,26;2,19;2,23;2,04;2,06;1,89;
2047;2,26;2,30;2,23;2,27;2,06;2,08;1,90;
2048;2,31;2,35;2,27;2,31;2,08;2,10;1,91;
2049;2,35;2,39;2,31;2,35;2,10;2,12;1,91;
2050;2,39;2,43;2,34;2,38;2,11;2,14;1,92;
2051;2,43;2,48;2,38;2,42;2,13;2,16;1,92;
2052;2,48;2,52;2,42;2,46;2,14;2,17;1,93;
2053;2,52;2,57;2,46;2,50;2,16;2,19;1,93;
2054;2,57;2,61;2,50;2,54;2,17;2,20;1,93;
2055;2,61;2,66;2,53;2,58;2,19;2,21;1,93;
2056;2,66;2,71;2,57;2,61;2,20;2,23;1,93;
2057;2,70;2,75;2,61;2,65;2,21;2,24;1,93;
2058;2,75;2,80;2,65;2,69;2,23;2,25;1,93;
2059;2,79;2,84;2,69;2,73;2,24;2,26;1,93;
2060;2,84;2,89;2,73;2,76;2,25;2,28;1,93;
2061;2,89;2,93;2,76;2,80;2,27;2,29;1,94;
2062;2,93;2,98;2,80;2,84;2,28;2,30;1,94;
2063;2,98;3,03;2,84;2,87;2,29;2,31;1,94;
2064;3,02;3,07;2,88;2,91;2,30;2,32;1,93;
2065;3,07;3,12;2,91;2,94;2,31;2,33;1,93;
2066;3,12;3,17;2,95;2,98;2,33;2,34;1,93;
2067;3,16;3,21;2,99;3,02;2,34;2,35;1,93;
2068;3,21;3,26;3,03;3,05;2,35;2,36;1,93;
2069;3,26;3,30;3,06;3,09;2,36;2,37;1,93;
2070;3,31;3,35;3,10;3,12;2,37;2,38;1,93;
2071;3,35;3,40;3,14;3,16;2,38;2,39;1,93;
2072;3,40;3,44;3,18;3,19;2,39;2,40;1,92;
2073;3,45;3,49;3,22;3,23;2,40;2,41;1,92;
2074;3,50;3,54;3,25;3,26;2,41;2,42;1,92;
2075;3,55;3,58;3,29;3,30;2,42;2,43;1,92;
2076;3,60;3,63;3,33;3,33;2,43;2,44;1,92;
2077;3,65;3,68;3,37;3,37;2,44;2,45;1,91;
2078;3,70;3,73;3,41;3,40;2,45;2,46;1,91;
2079;3,75;3,77;3,44;3,44;2,46;2,47;1,91;
2080;3,80;3,82;3,48;3,47;2,47;2,47;1,90;
2081;3,85;3,87;3,52;3,51;2,48;2,48;1,90;
2082;3,91;3,92;3,56;3,54;2,49;2,49;1,90;
2083;3,96;3,97;3,60;3,58;2,50;2,50;1,89;
2084;4,01;4,01;3,64;3,61;2,51;2,50;1,89;
2085;4,07;4,06;3,68;3,65;2,52;2,51;1,89;
2086;4,12;4,11;3,71;3,68;2,53;2,52;1,88;
2087;4,17;4,16;3,75;3,71;2,54;2,52;1,88;
2088;4,22;4,21;3,79;3,75;2,54;2,53;1,87;
2089;4,28;4,25;3,83;3,78;2,55;2,54;1,87;
2090;4,33;4,30;3,87;3,81;2,56;2,54;1,86;
2091;4,38;4,35;3,90;3,85;2,56;2,55;1,86;
2092;4,43;4,40;3,94;3,88;2,57;2,55;1,85;
2093;4,49;4,45;3,97;3,91;2,58;2,56;1,85;
2094;4,54;4,49;4,01;3,94;2,58;2,56;1,84;
2095;4,59;4,54;4,05;3,98;2,59;2,57;1,83;
2096;4,64;4,59;4,08;4,01;2,59;2,57;1,83;
2097;4,70;4,64;4,12;4,04;2,60;2,57;1,82;
2098;4,75;4,68;4,15;4,07;2,60;2,58;1,81;
2099;4,80;4,73;4,19;4,10;2,61;2,58;1,80;
2100;4,85;4,78;4,22;4,13;2,61;2,58;1,80;
