Data Figure 1.3: Data series on projected annual economic labour hours (all employed working-age individuals) (SC scenario);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Planet Paper: Chanceletal2026Appendix_MacroScenarios.xlsx Sheet E0a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI
1800;3 183;3 262;3 095;3 083;3 165;3 033;3 347;3 201;3 144;3 540;3 216;3 102;3 325;3 066;3 146;3 355;3 216;3 571;3 216;3 265;3 163;2 887;2 772;3 030;3 030;3 048;3 047;3 094;3 094;3 094;3 094;3 216;3 216;3 319;3 216;3 216;3 216;2 954;3 216;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 404;3 265;3 216;3 033;3 216;3 216;3 216;3 148;3 162;2 950;3 148;3 148;3 148;3 202;3 148;3 148
1801;3 183;3 262;3 095;3 083;3 165;3 033;3 347;3 201;3 144;3 540;3 216;3 102;3 325;3 066;3 146;3 355;3 216;3 571;3 216;3 265;3 163;2 887;2 772;3 030;3 030;3 048;3 047;3 094;3 094;3 094;3 094;3 216;3 216;3 319;3 216;3 216;3 216;2 954;3 216;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 404;3 265;3 216;3 033;3 216;3 216;3 216;3 148;3 162;2 950;3 148;3 148;3 148;3 202;3 148;3 148
1802;3 183;3 262;3 096;3 083;3 166;3 033;3 347;3 201;3 144;3 540;3 216;3 102;3 325;3 066;3 146;3 355;3 216;3 571;3 216;3 265;3 163;2 887;2 772;3 030;3 030;3 048;3 047;3 094;3 094;3 094;3 094;3 216;3 216;3 319;3 216;3 216;3 216;2 954;3 216;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 404;3 265;3 216;3 033;3 216;3 216;3 216;3 148;3 162;2 950;3 148;3 148;3 148;3 202;3 148;3 148
1803;3 183;3 262;3 097;3 083;3 166;3 033;3 347;3 201;3 144;3 540;3 216;3 102;3 325;3 066;3 146;3 355;3 216;3 571;3 216;3 265;3 163;2 887;2 772;3 030;3 030;3 048;3 047;3 094;3 094;3 094;3 094;3 216;3 216;3 319;3 216;3 216;3 216;2 954;3 216;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 404;3 265;3 216;3 033;3 216;3 216;3 216;3 148;3 162;2 950;3 148;3 148;3 148;3 202;3 148;3 148
1804;3 183;3 263;3 098;3 083;3 166;3 033;3 347;3 201;3 144;3 540;3 216;3 102;3 325;3 066;3 146;3 355;3 216;3 571;3 216;3 265;3 163;2 887;2 772;3 030;3 030;3 048;3 047;3 094;3 094;3 094;3 094;3 216;3 216;3 319;3 216;3 216;3 216;2 954;3 216;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 404;3 265;3 216;3 033;3 216;3 216;3 216;3 148;3 162;2 950;3 148;3 148;3 148;3 202;3 148;3 148
1805;3 183;3 263;3 099;3 083;3 166;3 033;3 347;3 201;3 144;3 540;3 216;3 102;3 325;3 066;3 146;3 355;3 216;3 571;3 216;3 265;3 163;2 887;2 772;3 030;3 030;3 048;3 047;3 094;3 094;3 094;3 094;3 216;3 216;3 319;3 216;3 216;3 216;2 954;3 216;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 404;3 265;3 216;3 033;3 216;3 216;3 216;3 148;3 162;2 950;3 148;3 148;3 148;3 202;3 148;3 148
1806;3 185;3 267;3 100;3 083;3 167;3 033;3 348;3 202;3 145;3 570;3 217;3 102;3 325;3 068;3 146;3 357;3 217;3 571;3 217;3 266;3 163;2 887;2 772;3 031;3 031;3 048;3 047;3 095;3 095;3 095;3 095;3 217;3 217;3 320;3 217;3 217;3 217;2 954;3 217;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 033;3 404;3 266;3 217;3 034;3 217;3 217;3 217;3 149;3 162;2 950;3 149;3 149;3 149;3 202;3 149;3 149
1807;3 186;3 271;3 101;3 084;3 168;3 034;3 349;3 203;3 145;3 599;3 218;3 102;3 325;3 070;3 146;3 359;3 218;3 571;3 218;3 266;3 163;2 887;2 772;3 031;3 031;3 049;3 048;3 095;3 095;3 095;3 095;3 218;3 218;3 321;3 218;3 218;3 218;2 955;3 218;3 034;3 034;3 034;3 034;3 034;3 034;3 034;3 034;3 034;3 034;3 034;3 405;3 266;3 218;3 035;3 218;3 218;3 218;3 149;3 163;2 951;3 149;3 149;3 149;3 203;3 149;3 149
1808;3 187;3 274;3 101;3 084;3 169;3 034;3 349;3 203;3 146;3 629;3 218;3 102;3 325;3 072;3 146;3 361;3 218;3 571;3 218;3 267;3 163;2 887;2 772;3 032;3 032;3 050;3 049;3 096;3 096;3 096;3 096;3 218;3 218;3 321;3 218;3 218;3 218;2 956;3 218;3 034;3 034;3 034;3 034;3 034;3 034;3 034;3 034;3 034;3 034;3 034;3 406;3 267;3 218;3 035;3 218;3 218;3 218;3 150;3 164;2 951;3 150;3 150;3 150;3 204;3 150;3 150
1809;3 188;3 277;3 102;3 085;3 170;3 035;3 350;3 204;3 146;3 659;3 219;3 102;3 325;3 074;3 146;3 364;3 219;3 571;3 219;3 268;3 163;2 887;2 772;3 032;3 032;3 050;3 049;3 096;3 096;3 096;3 096;3 219;3 219;3 322;3 219;3 219;3 219;2 956;3 219;3 035;3 035;3 035;3 035;3 035;3 035;3 035;3 035;3 035;3 035;3 035;3 406;3 268;3 219;3 036;3 219;3 219;3 219;3 151;3 164;2 952;3 151;3 151;3 151;3 204;3 151;3 151
1810;3 189;3 281;3 103;3 086;3 170;3 036;3 351;3 205;3 147;3 688;3 220;3 102;3 325;3 077;3 146;3 366;3 220;3 571;3 220;3 268;3 163;2 887;2 772;3 033;3 033;3 051;3 050;3 097;3 097;3 097;3 097;3 220;3 220;3 323;3 220;3 220;3 220;2 957;3 220;3 036;3 036;3 036;3 036;3 036;3 036;3 036;3 036;3 036;3 036;3 036;3 407;3 268;3 220;3 036;3 220;3 220;3 220;3 151;3 165;2 953;3 151;3 151;3 151;3 205;3 151;3 151
1811;3 190;3 285;3 104;3 086;3 171;3 036;3 352;3 205;3 148;3 718;3 220;3 102;3 325;3 079;3 146;3 368;3 220;3 571;3 220;3 269;3 163;2 887;2 772;3 034;3 034;3 052;3 050;3 098;3 098;3 098;3 098;3 220;3 220;3 323;3 220;3 220;3 220;2 957;3 220;3 036;3 036;3 036;3 036;3 036;3 036;3 036;3 036;3 036;3 036;3 036;3 408;3 269;3 220;3 037;3 220;3 220;3 220;3 152;3 166;2 953;3 152;3 152;3 152;3 205;3 152;3 152
1812;3 192;3 288;3 104;3 087;3 172;3 037;3 352;3 206;3 148;3 747;3 221;3 102;3 325;3 081;3 146;3 370;3 221;3 571;3 221;3 270;3 163;2 887;2 772;3 034;3 034;3 052;3 051;3 098;3 098;3 098;3 098;3 221;3 221;3 324;3 221;3 221;3 221;2 958;3 221;3 037;3 037;3 037;3 037;3 037;3 037;3 037;3 037;3 037;3 037;3 037;3 408;3 270;3 221;3 038;3 221;3 221;3 221;3 152;3 166;2 954;3 152;3 152;3 152;3 206;3 152;3 152
1813;3 193;3 292;3 105;3 087;3 173;3 038;3 353;3 207;3 149;3 777;3 222;3 102;3 325;3 083;3 146;3 373;3 222;3 571;3 222;3 270;3 163;2 887;2 772;3 035;3 035;3 053;3 052;3 099;3 099;3 099;3 099;3 222;3 222;3 325;3 222;3 222;3 222;2 959;3 222;3 038;3 038;3 038;3 038;3 038;3 038;3 038;3 038;3 038;3 038;3 038;3 409;3 270;3 222;3 038;3 222;3 222;3 222;3 153;3 167;2 954;3 153;3 153;3 153;3 207;3 153;3 153
1814;3 194;3 296;3 106;3 088;3 174;3 038;3 354;3 207;3 149;3 807;3 222;3 102;3 325;3 085;3 146;3 375;3 222;3 571;3 222;3 271;3 163;2 887;2 772;3 035;3 035;3 053;3 052;3 100;3 100;3 100;3 100;3 222;3 222;3 325;3 222;3 222;3 222;2 959;3 222;3 038;3 038;3 038;3 038;3 038;3 038;3 038;3 038;3 038;3 038;3 038;3 410;3 271;3 222;3 039;3 222;3 222;3 222;3 154;3 167;2 955;3 154;3 154;3 154;3 207;3 154;3 154
1815;3 195;3 300;3 107;3 089;3 175;3 039;3 354;3 208;3 149;3 836;3 223;3 102;3 325;3 087;3 146;3 377;3 223;3 571;3 223;3 272;3 163;2 887;2 772;3 036;3 036;3 054;3 053;3 100;3 100;3 100;3 100;3 223;3 223;3 326;3 223;3 223;3 223;2 960;3 223;3 039;3 039;3 039;3 039;3 039;3 039;3 039;3 039;3 039;3 039;3 039;3 411;3 272;3 223;3 040;3 223;3 223;3 223;3 154;3 168;2 955;3 154;3 154;3 154;3 208;3 154;3 154
1816;3 196;3 300;3 108;3 089;3 175;3 039;3 355;3 209;3 150;3 839;3 224;3 102;3 325;3 089;3 146;3 379;3 224;3 571;3 224;3 272;3 163;2 887;2 772;3 037;3 037;3 055;3 054;3 101;3 101;3 101;3 101;3 224;3 224;3 327;3 224;3 224;3 224;2 960;3 224;3 039;3 039;3 039;3 039;3 039;3 039;3 039;3 039;3 039;3 039;3 039;3 411;3 272;3 224;3 040;3 224;3 224;3 224;3 155;3 169;2 956;3 155;3 155;3 155;3 209;3 155;3 155
1817;3 197;3 301;3 109;3 090;3 176;3 040;3 356;3 209;3 150;3 841;3 224;3 102;3 325;3 091;3 146;3 381;3 224;3 571;3 224;3 273;3 163;2 887;2 772;3 037;3 037;3 055;3 054;3 101;3 101;3 101;3 101;3 224;3 224;3 327;3 224;3 224;3 224;2 961;3 224;3 040;3 040;3 040;3 040;3 040;3 040;3 040;3 040;3 040;3 040;3 040;3 412;3 273;3 224;3 041;3 224;3 224;3 224;3 156;3 169;2 957;3 156;3 156;3 156;3 209;3 156;3 156
