Data Figure 1.4: Data series on structural labour transformation 1800-2100 (SC scenario);;;;;;;;;;
Sheet extracted from Planet Paper: Chanceletal2026Appendix_MacroScenarios.xlsx Sheet E0b;;;;;;;;;;
;;;;;;;;;;
;Domestic work (women);Domestic work (men);Economic work (women);Economic work (men);Total;Domestic work (women);Domestic work (men);Economic work (women);Economic work (men);Total
1800;995;199;811;1 312;3 318;30%;6%;24%;40%;100%
1801;996;200;811;1 312;3 319;30%;6%;24%;40%;100%
1802;997;200;811;1 313;3 321;30%;6%;24%;40%;100%
1803;999;201;811;1 313;3 323;30%;6%;24%;39%;100%
1804;1 000;202;811;1 313;3 325;30%;6%;24%;39%;100%
1805;1 001;202;811;1 313;3 327;30%;6%;24%;39%;100%
1806;1 002;203;811;1 313;3 330;30%;6%;24%;39%;100%
1807;1 004;204;812;1 314;3 332;30%;6%;24%;39%;100%
1808;1 005;205;812;1 314;3 335;30%;6%;24%;39%;100%
1809;1 006;205;812;1 314;3 338;30%;6%;24%;39%;100%
1810;1 008;206;812;1 315;3 341;30%;6%;24%;39%;100%
1811;1 009;207;813;1 315;3 344;30%;6%;24%;39%;100%
1812;1 011;208;813;1 316;3 347;30%;6%;24%;39%;100%
1813;1 012;208;813;1 316;3 350;30%;6%;24%;39%;100%
1814;1 014;209;814;1 317;3 353;30%;6%;24%;39%;100%
1815;1 015;210;814;1 317;3 356;30%;6%;24%;39%;100%
1816;1 016;210;812;1 318;3 356;30%;6%;24%;39%;100%
1817;1 016;211;811;1 318;3 356;30%;6%;24%;39%;100%
1818;1 017;211;810;1 319;3 356;30%;6%;24%;39%;100%
1819;1 018;212;808;1 319;3 357;30%;6%;24%;39%;100%
1820;1 018;213;807;1 319;3 357;30%;6%;24%;39%;100%
1821;1 019;213;805;1 320;3 358;30%;6%;24%;39%;100%
1822;1 019;214;804;1 320;3 357;30%;6%;24%;39%;100%
1823;1 020;214;802;1 321;3 357;30%;6%;24%;39%;100%
1824;1 021;215;801;1 322;3 359;30%;6%;24%;39%;100%
1825;1 022;216;800;1 322;3 359;30%;6%;24%;39%;100%
1826;1 029;218;805;1 331;3 383;30%;6%;24%;39%;100%
1827;1 037;220;810;1 339;3 406;30%;6%;24%;39%;100%
1828;1 045;222;815;1 348;3 430;30%;6%;24%;39%;100%
1829;1 053;224;820;1 357;3 454;30%;6%;24%;39%;100%
1830;1 061;226;825;1 366;3 477;31%;7%;24%;39%;100%
1831;1 068;228;830;1 374;3 501;31%;7%;24%;39%;100%
1832;1 076;230;835;1 383;3 524;31%;7%;24%;39%;100%
1833;1 084;232;840;1 391;3 548;31%;7%;24%;39%;100%
1834;1 092;235;846;1 400;3 572;31%;7%;24%;39%;100%
1835;1 100;237;851;1 409;3 596;31%;7%;24%;39%;100%
1836;1 103;238;852;1 411;3 603;31%;7%;24%;39%;100%
1837;1 105;239;853;1 413;3 610;31%;7%;24%;39%;100%
1838;1 108;240;854;1 415;3 617;31%;7%;24%;39%;100%
1839;1 111;241;855;1 416;3 623;31%;7%;24%;39%;100%
1840;1 113;242;857;1 418;3 630;31%;7%;24%;39%;100%
1841;1 116;243;858;1 420;3 637;31%;7%;24%;39%;100%
1842;1 118;244;858;1 422;3 643;31%;7%;24%;39%;100%
1843;1 121;245;859;1 424;3 650;31%;7%;24%;39%;100%
1844;1 124;246;860;1 426;3 656;31%;7%;24%;39%;100%
1845;1 126;247;861;1 428;3 663;31%;7%;24%;39%;100%
1846;1 126;248;860;1 426;3 660;31%;7%;24%;39%;100%
1847;1 126;248;859;1 424;3 657;31%;7%;23%;39%;100%
1848;1 126;249;858;1 423;3 655;31%;7%;23%;39%;100%
1849;1 126;249;857;1 421;3 652;31%;7%;23%;39%;100%
1850;1 138;257;856;1 419;3 669;31%;7%;23%;39%;100%
1851;1 136;257;854;1 418;3 665;31%;7%;23%;39%;100%
1852;1 135;256;853;1 416;3 660;31%;7%;23%;39%;100%
1853;1 133;256;852;1 414;3 655;31%;7%;23%;39%;100%
1854;1 131;255;850;1 412;3 650;31%;7%;23%;39%;100%
1855;1 130;255;849;1 410;3 644;31%;7%;23%;39%;100%
1856;1 124;254;843;1 404;3 625;31%;7%;23%;39%;100%
1857;1 118;252;838;1 398;3 606;31%;7%;23%;39%;100%
1858;1 112;251;833;1 392;3 588;31%;7%;23%;39%;100%
1859;1 106;250;827;1 386;3 569;31%;7%;23%;39%;100%
1860;1 101;249;822;1 379;3 550;31%;7%;23%;39%;100%
1861;1 096;248;816;1 373;3 533;31%;7%;23%;39%;100%
1862;1 091;248;811;1 367;3 516;31%;7%;23%;39%;100%
1863;1 087;247;805;1 361;3 499;31%;7%;23%;39%;100%
1864;1 082;247;799;1 354;3 482;31%;7%;23%;39%;100%
1865;1 077;246;793;1 348;3 464;31%;7%;23%;39%;100%
1866;1 071;245;785;1 341;3 442;31%;7%;23%;39%;100%
1867;1 065;244;778;1 334;3 421;31%;7%;23%;39%;100%
1868;1 060;243;770;1 327;3 400;31%;7%;23%;39%;100%
1869;1 054;243;763;1 320;3 380;31%;7%;23%;39%;100%
1870;1 048;242;756;1 314;3 360;31%;7%;22%;39%;100%
1871;1 042;241;749;1 307;3 339;31%;7%;22%;39%;100%
1872;1 037;240;742;1 300;3 319;31%;7%;22%;39%;100%
1873;1 032;240;736;1 293;3 300;31%;7%;22%;39%;100%
1874;1 026;239;729;1 287;3 280;31%;7%;22%;39%;100%
1875;1 021;238;722;1 280;3 261;31%;7%;22%;39%;100%
1876;1 020;238;720;1 278;3 256;31%;7%;22%;39%;100%
