Data Figure 1.7: Series on relative GDP prices (world);;;;;;;;;;;
Sheet extracted from Planet Paper: Chanceletal2026Appendix_MacroScenarios.xlsx Sheet C0dr;;;;;;;;;;;
;;;;;;;;;;;
;World;Food;Construction/ Housing;Housing services;Construction;Manufacturing;Energy, mining;Education, health, public services;Culture, leisure, shops, restaurants, bars, culture, leisure, etc. ;Transport;Other services
1970;1,00;1,18;0,72;0,98;0,58;1,80;0,64;0,65;1,23;1,20;1,01
1971;1,00;1,17;0,72;0,96;0,59;1,77;0,65;0,67;1,23;1,19;1,00
1972;1,00;1,18;0,73;0,96;0,60;1,73;0,63;0,70;1,21;1,17;1,00
1973;1,00;1,23;0,73;0,94;0,60;1,68;0,65;0,70;1,20;1,13;0,98
1974;1,00;1,20;0,74;0,93;0,62;1,68;0,71;0,70;1,20;1,09;0,97
1975;1,00;1,16;0,76;0,95;0,64;1,65;0,70;0,73;1,17;1,09;1,00
1976;1,00;1,17;0,75;0,94;0,63;1,65;0,70;0,74;1,17;1,09;0,99
1977;1,00;1,18;0,76;0,93;0,65;1,62;0,71;0,74;1,16;1,11;0,98
1978;1,00;1,17;0,76;0,92;0,65;1,61;0,72;0,75;1,15;1,09;0,97
1979;1,00;1,17;0,77;0,94;0,67;1,59;0,76;0,73;1,14;1,08;0,99
1980;1,00;1,15;0,79;0,93;0,68;1,57;0,81;0,72;1,14;1,07;0,98
1981;1,00;1,14;0,80;0,94;0,69;1,57;0,82;0,72;1,13;1,07;0,99
1982;1,00;1,13;0,80;0,94;0,69;1,57;0,83;0,72;1,12;1,08;1,00
1983;1,00;1,14;0,79;0,94;0,67;1,54;0,85;0,73;1,11;1,06;1,00
1984;1,00;1,14;0,79;0,93;0,67;1,53;0,83;0,74;1,12;1,06;0,99
1985;1,00;1,12;0,79;0,94;0,67;1,51;0,81;0,74;1,14;1,07;1,00
1986;1,00;1,15;0,82;0,94;0,71;1,51;0,69;0,77;1,14;1,10;1,01
1987;1,00;1,15;0,82;0,95;0,71;1,46;0,70;0,77;1,16;1,07;1,02
1988;1,00;1,16;0,83;0,97;0,70;1,45;0,65;0,78;1,16;1,06;1,05
1989;1,00;1,16;0,82;0,98;0,69;1,43;0,65;0,79;1,16;1,07;1,05
1990;1,00;1,15;0,83;0,98;0,70;1,42;0,69;0,78;1,15;1,08;1,06
1991;1,00;1,11;0,83;0,99;0,70;1,40;0,68;0,80;1,17;1,09;1,06
1992;1,00;1,03;0,84;0,99;0,69;1,37;0,68;0,82;1,21;1,08;1,07
1993;1,00;1,01;0,86;1,01;0,72;1,33;0,66;0,84;1,20;1,11;1,08
1994;1,00;1,01;0,87;1,02;0,73;1,33;0,66;0,83;1,19;1,11;1,08
1995;1,00;1,00;0,88;1,02;0,73;1,29;0,66;0,84;1,19;1,10;1,09
1996;1,00;1,00;0,88;1,02;0,73;1,27;0,67;0,84;1,18;1,08;1,10
1997;1,00;0,99;0,89;1,03;0,74;1,24;0,68;0,86;1,17;1,08;1,10
1998;1,00;0,99;0,90;1,03;0,76;1,23;0,64;0,87;1,17;1,09;1,09
1999;1,00;0,98;0,90;1,03;0,75;1,21;0,69;0,87;1,17;1,07;1,09
2000;1,00;0,95;0,90;1,03;0,76;1,17;0,75;0,88;1,16;1,07;1,09
2001;1,00;0,95;0,91;1,03;0,77;1,15;0,73;0,90;1,15;1,10;1,09
2002;1,00;0,95;0,92;1,04;0,78;1,13;0,73;0,92;1,14;1,09;1,09
2003;1,00;0,94;0,92;1,04;0,79;1,10;0,74;0,93;1,13;1,10;1,10
2004;1,00;0,94;0,93;1,03;0,81;1,09;0,80;0,93;1,11;1,08;1,09
2005;1,00;0,90;0,93;1,03;0,82;1,07;0,89;0,93;1,09;1,06;1,08
2006;1,00;0,88;0,94;1,03;0,84;1,05;0,93;0,94;1,08;1,05;1,08
2007;1,00;0,90;0,95;1,03;0,85;1,03;0,93;0,96;1,07;1,05;1,07
2008;1,00;0,92;0,95;1,03;0,87;1,01;0,98;0,96;1,06;1,03;1,05
2009;1,00;0,92;0,97;1,03;0,89;1,01;0,89;0,99;1,07;1,05;1,05
2010;1,00;0,93;0,96;1,02;0,89;0,99;0,94;0,98;1,06;1,04;1,05
2011;1,00;0,94;0,96;1,02;0,89;0,98;1,01;0,98;1,05;1,02;1,04
2012;1,00;0,95;0,96;1,01;0,90;0,98;1,00;0,99;1,05;1,02;1,04
2013;1,00;0,95;0,96;1,01;0,90;0,97;0,99;1,00;1,04;1,02;1,04
2014;1,00;0,95;0,97;1,02;0,90;0,98;0,97;1,00;1,04;1,03;1,04
2015;1,00;0,96;0,97;1,02;0,91;1,00;0,85;1,02;1,04;1,07;1,05
2016;1,00;0,97;0,98;1,03;0,92;0,99;0,81;1,02;1,04;1,06;1,05
2017;1,00;0,97;0,98;1,03;0,92;0,99;0,87;1,02;1,03;1,04;1,05
2018;1,00;0,96;0,98;1,02;0,93;0,99;0,93;1,02;1,02;1,02;1,04
2019;1,00;0,96;0,99;1,03;0,94;0,98;0,91;1,02;1,02;1,03;1,04
2020;1,00;0,98;0,99;1,03;0,95;0,99;0,83;1,04;1,02;1,05;1,04
