Data Figure 1.8: Series on labour hours structure at the world level 1800-2100;;;;;;;;;;;
Sheet extracted from Planet Paper: Chanceletal2026Appendix_MacroScenarios.xlsx Sheet E1a;;;;;;;;;;;
;;;;;;;;;;;
;Food;Housing/ Construction;incl. Housing services;incl. Construction;Manufacturing;Energy/           Mining;Education, health, public services;Leisure, culture, shops, restaurants, bars, etc. ;Transport;Other services;Total
1800;71%;5%;0%;5%;8%;2%;4%;4%;3%;3%;100%
1801;71%;5%;0%;5%;8%;2%;4%;4%;3%;3%;100%
1802;71%;5%;0%;5%;8%;2%;4%;4%;3%;3%;100%
1803;71%;5%;0%;5%;8%;2%;4%;4%;3%;3%;100%
1804;71%;5%;0%;5%;8%;2%;4%;4%;3%;3%;100%
1805;71%;5%;0%;5%;8%;2%;4%;4%;3%;3%;100%
1806;70%;5%;0%;5%;8%;2%;4%;4%;3%;3%;100%
1807;70%;5%;0%;5%;8%;2%;4%;4%;3%;3%;100%
1808;70%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1809;70%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1810;70%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1811;70%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1812;70%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1813;70%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1814;70%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1815;70%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1816;69%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1817;69%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1818;69%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1819;69%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1820;69%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1821;69%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1822;69%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1823;69%;5%;0%;5%;9%;2%;4%;4%;3%;3%;100%
1824;69%;5%;0%;5%;10%;2%;4%;4%;3%;3%;100%
1825;69%;5%;0%;5%;10%;2%;4%;4%;3%;3%;100%
1826;68%;5%;0%;5%;10%;2%;4%;4%;3%;3%;100%
1827;68%;5%;0%;5%;10%;2%;4%;4%;3%;3%;100%
1828;68%;5%;0%;5%;10%;2%;4%;4%;3%;3%;100%
1829;68%;5%;0%;5%;10%;2%;4%;4%;3%;3%;100%
