Data Figure 1.9: Series on share of education, health, public services in labour hours 1800-2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Planet Paper: Chanceletal2026Appendix_MacroScenarios.xlsx Sheet E2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI
1800;2%;3%;4%;2%;2%;1%;4%;1%;1%;2%;2%;1%;2%;2%;2%;3%;4%;3%;2%;2%;4%;3%;3%;2%;2%;2%;1%;2%;0%;2%;2%;3%;4%;3%;3%;2%;5%;1%;4%;3%;1%;0%;0%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;1%;1%;0%;0%;2%
1801;2%;3%;4%;2%;2%;1%;4%;1%;1%;2%;2%;1%;2%;2%;2%;3%;4%;3%;2%;2%;4%;3%;3%;2%;2%;2%;1%;2%;0%;2%;2%;3%;4%;3%;3%;2%;5%;2%;4%;3%;1%;0%;0%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;1%;1%;0%;0%;2%
1802;2%;3%;4%;2%;2%;1%;4%;1%;1%;2%;2%;1%;2%;2%;2%;3%;4%;3%;2%;2%;4%;3%;3%;2%;2%;2%;1%;2%;0%;2%;2%;3%;4%;3%;3%;2%;5%;2%;4%;3%;1%;0%;0%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;1%;1%;0%;0%;2%
1803;2%;3%;4%;2%;2%;1%;4%;1%;1%;2%;2%;1%;2%;2%;2%;3%;4%;3%;2%;2%;4%;3%;3%;2%;2%;3%;1%;2%;0%;2%;2%;3%;4%;3%;3%;2%;5%;2%;4%;3%;1%;0%;0%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;1%;1%;1%;0%;2%
1804;2%;3%;4%;2%;2%;1%;4%;1%;1%;2%;2%;1%;2%;2%;2%;3%;4%;3%;2%;2%;4%;3%;3%;2%;2%;3%;1%;2%;0%;2%;2%;3%;4%;3%;3%;2%;5%;2%;4%;3%;1%;0%;0%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;1%;1%;1%;0%;2%
1805;2%;3%;4%;2%;2%;1%;4%;1%;1%;2%;2%;1%;2%;2%;2%;3%;4%;3%;2%;2%;4%;3%;3%;2%;2%;3%;1%;2%;0%;2%;2%;3%;4%;3%;3%;2%;5%;2%;4%;3%;1%;0%;0%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;1%;1%;1%;0%;2%
1806;2%;3%;4%;2%;2%;1%;4%;1%;1%;2%;2%;1%;2%;2%;2%;3%;4%;3%;2%;2%;4%;3%;3%;2%;2%;3%;1%;2%;0%;2%;2%;3%;4%;3%;3%;2%;5%;2%;4%;3%;1%;0%;0%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;1%;1%;1%;0%;2%
1807;2%;4%;4%;2%;2%;1%;4%;1%;1%;2%;2%;1%;2%;2%;2%;3%;4%;3%;2%;2%;4%;3%;3%;2%;2%;3%;1%;2%;0%;2%;2%;3%;4%;3%;3%;2%;5%;2%;4%;3%;1%;0%;0%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1808;2%;4%;4%;2%;2%;1%;4%;1%;1%;2%;2%;1%;2%;2%;2%;3%;4%;3%;2%;2%;4%;3%;3%;2%;2%;3%;1%;2%;0%;2%;2%;3%;5%;3%;3%;2%;5%;2%;4%;3%;1%;0%;0%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1809;2%;4%;4%;2%;2%;1%;4%;1%;1%;3%;2%;1%;2%;2%;2%;3%;4%;3%;2%;2%;4%;4%;3%;2%;2%;3%;1%;2%;1%;2%;2%;3%;5%;3%;3%;2%;5%;2%;4%;3%;1%;0%;0%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1810;2%;4%;4%;2%;2%;1%;4%;1%;1%;3%;2%;1%;2%;2%;2%;3%;4%;3%;2%;2%;4%;4%;3%;2%;2%;3%;1%;2%;1%;2%;2%;3%;5%;3%;3%;2%;5%;2%;4%;3%;1%;0%;1%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1811;2%;4%;4%;2%;2%;1%;4%;1%;1%;3%;2%;1%;2%;2%;2%;3%;4%;3%;2%;2%;4%;4%;3%;2%;2%;3%;1%;2%;1%;2%;2%;3%;5%;3%;3%;2%;5%;2%;4%;3%;1%;0%;1%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1812;2%;4%;4%;2%;2%;1%;4%;1%;1%;3%;2%;1%;3%;2%;2%;3%;4%;3%;2%;2%;4%;4%;3%;2%;2%;3%;1%;2%;1%;2%;2%;3%;5%;3%;3%;2%;5%;2%;4%;3%;1%;0%;1%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1813;2%;4%;4%;2%;2%;1%;4%;1%;1%;3%;2%;1%;3%;2%;2%;3%;4%;3%;2%;2%;4%;4%;3%;2%;2%;3%;1%;2%;1%;2%;2%;3%;5%;3%;3%;2%;6%;2%;4%;3%;1%;0%;1%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1814;2%;4%;4%;2%;2%;1%;4%;1%;1%;3%;2%;1%;3%;2%;2%;3%;4%;3%;2%;2%;4%;4%;3%;2%;3%;3%;1%;2%;1%;2%;2%;3%;5%;4%;3%;2%;6%;2%;4%;3%;1%;0%;1%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1815;3%;4%;4%;2%;2%;1%;4%;1%;1%;3%;2%;1%;3%;2%;2%;3%;4%;3%;2%;2%;4%;4%;3%;2%;3%;3%;1%;2%;1%;2%;2%;3%;5%;4%;3%;2%;6%;2%;4%;3%;1%;0%;1%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1816;3%;4%;4%;2%;2%;1%;4%;1%;1%;3%;3%;1%;3%;2%;2%;3%;4%;3%;2%;2%;4%;4%;3%;2%;3%;3%;1%;2%;1%;2%;2%;3%;5%;4%;3%;2%;6%;2%;4%;3%;1%;0%;1%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1817;3%;4%;4%;2%;2%;1%;4%;1%;1%;3%;3%;1%;3%;2%;2%;3%;4%;3%;2%;2%;4%;4%;3%;2%;3%;3%;1%;2%;1%;2%;3%;3%;5%;4%;3%;2%;6%;2%;4%;3%;1%;0%;1%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1818;3%;4%;4%;2%;2%;1%;4%;1%;1%;3%;3%;1%;3%;2%;2%;3%;4%;3%;2%;2%;4%;4%;3%;2%;3%;3%;1%;2%;1%;2%;3%;3%;5%;4%;3%;2%;6%;2%;4%;3%;1%;0%;1%;1%;0%;0%;0%;1%;1%;1%;4%;4%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1819;3%;4%;4%;2%;2%;1%;4%;1%;1%;3%;3%;1%;3%;2%;2%;3%;4%;3%;2%;2%;4%;4%;3%;2%;3%;3%;1%;2%;1%;2%;3%;4%;5%;4%;3%;2%;6%;2%;4%;3%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;4%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1820;3%;4%;4%;2%;2%;1%;4%;1%;1%;3%;3%;1%;3%;2%;2%;3%;5%;3%;2%;2%;4%;4%;3%;2%;3%;3%;1%;2%;1%;2%;3%;4%;5%;4%;3%;2%;6%;2%;4%;3%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;4%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1821;3%;4%;4%;2%;2%;1%;4%;1%;1%;3%;3%;1%;3%;2%;2%;3%;5%;3%;2%;2%;4%;4%;3%;2%;3%;3%;1%;2%;1%;2%;3%;4%;5%;4%;3%;2%;6%;2%;4%;3%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;4%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1822;3%;4%;4%;2%;2%;1%;4%;1%;1%;3%;3%;1%;3%;2%;2%;3%;5%;3%;2%;2%;4%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;5%;4%;3%;2%;6%;2%;4%;3%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;4%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1823;3%;4%;4%;2%;2%;1%;4%;1%;1%;3%;3%;1%;3%;2%;2%;3%;5%;3%;2%;2%;4%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;5%;4%;3%;2%;6%;2%;5%;3%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;4%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1824;3%;4%;4%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;2%;2%;3%;5%;3%;2%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;5%;4%;3%;2%;6%;2%;5%;4%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;4%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1825;3%;4%;4%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;2%;2%;3%;5%;3%;2%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;5%;4%;3%;2%;6%;2%;5%;4%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;4%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1826;3%;4%;4%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;2%;2%;3%;5%;3%;2%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;5%;4%;3%;2%;6%;2%;5%;4%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;4%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1827;3%;4%;4%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;2%;2%;3%;5%;4%;2%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;5%;4%;3%;2%;6%;2%;5%;4%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;5%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1828;3%;4%;5%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;2%;2%;3%;5%;4%;2%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;5%;4%;3%;2%;6%;2%;5%;4%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;5%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1829;3%;4%;5%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;3%;2%;4%;5%;4%;2%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;5%;4%;3%;2%;6%;2%;5%;4%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;5%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1830;3%;4%;5%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;3%;2%;4%;5%;4%;2%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;5%;4%;3%;2%;6%;2%;5%;4%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;5%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1831;3%;4%;5%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;3%;2%;4%;5%;4%;2%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;5%;4%;3%;2%;6%;2%;5%;4%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;5%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1832;3%;4%;5%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;3%;2%;4%;5%;4%;2%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;5%;4%;4%;2%;6%;2%;5%;4%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;5%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1833;3%;4%;5%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;3%;2%;4%;5%;4%;2%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;5%;4%;4%;2%;6%;2%;5%;4%;1%;0%;1%;1%;0%;1%;0%;2%;1%;1%;5%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1834;3%;4%;5%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;3%;2%;4%;5%;4%;2%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;5%;4%;4%;2%;6%;2%;5%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1835;3%;4%;5%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;3%;2%;4%;5%;4%;2%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;6%;4%;4%;2%;7%;2%;5%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1836;3%;4%;5%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;3%;2%;4%;5%;4%;2%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;6%;4%;4%;2%;7%;2%;5%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1837;3%;4%;5%;2%;2%;1%;5%;1%;1%;3%;3%;1%;3%;3%;2%;4%;5%;4%;3%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;6%;4%;4%;2%;7%;2%;5%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1838;3%;4%;5%;2%;2%;1%;5%;1%;1%;3%;3%;2%;3%;3%;2%;4%;5%;4%;3%;2%;5%;4%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;6%;4%;4%;2%;7%;2%;5%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;5%;1%;2%;1%;2%;1%;1%;1%;1%;0%;2%;1%;1%;0%;2%
