Data Figure 2.13a and 2.14a (1/3): Data series on posttax net income shares (top 10% share);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDistribution.xlsx sheet I8a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;Core Social-Democratic Europe (DE-DK-FR-GB-NL-NO-SE);Core Western Europe (DE-FR-GB);Core Nordic Europe (DK-NL-NO-SE);World (population-weighted);Europe (Pop. weighted);North America/ Oceania (pop.weighted);Latin America (pop.weighted);Middle East/North Africa (pop.weighted);Subsaharan Africa (pop.weighted);Russia/ Central Asia (pop.weighted);East Asia (pop.weighted);South & South-East Asia (pop.weighted);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1800;50%;51%;44%;53%;52%;52%;44%;46%;48%;47%;48%;48%;51%;50%;48%;48%;48%;49%;48%;47%;41%;41%;44%;43%;45%;48%;53%;48%;53%;53%;53%;50%;50%;53%;50%;50%;50%;57%;50%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;44%;44%;46%;46%;46%;46%;46%;45%;48%;41%;45%;45%;45%;45%;45%;45%;49%;49%;49%;47%;48%;42%;53%;52%;49%;44%;46%;47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1801;50%;51%;44%;53%;52%;52%;44%;46%;48%;47%;48%;48%;51%;50%;48%;48%;48%;49%;48%;47%;41%;41%;44%;43%;45%;48%;53%;48%;53%;53%;53%;50%;50%;53%;50%;50%;50%;57%;50%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;44%;44%;46%;46%;46%;46%;46%;45%;48%;41%;45%;45%;45%;45%;45%;45%;49%;49%;49%;47%;48%;42%;53%;52%;49%;44%;46%;47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1802;50%;51%;44%;54%;52%;52%;44%;46%;48%;47%;48%;48%;51%;50%;48%;48%;48%;49%;48%;47%;41%;41%;44%;43%;45%;48%;53%;48%;53%;53%;53%;50%;50%;53%;50%;50%;50%;57%;50%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;44%;44%;46%;46%;46%;46%;46%;45%;48%;41%;45%;45%;45%;45%;45%;45%;49%;49%;49%;47%;48%;42%;53%;52%;49%;44%;46%;47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1803;50%;51%;44%;54%;52%;52%;44%;46%;48%;47%;48%;48%;51%;50%;48%;48%;48%;49%;48%;47%;41%;41%;44%;43%;45%;48%;53%;48%;53%;53%;53%;50%;50%;53%;50%;50%;50%;57%;50%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;44%;44%;46%;46%;46%;46%;46%;45%;48%;41%;45%;45%;45%;45%;45%;45%;49%;49%;49%;47%;48%;42%;53%;52%;49%;44%;46%;47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1804;50%;51%;44%;54%;52%;52%;44%;46%;48%;47%;48%;48%;51%;50%;48%;48%;48%;49%;48%;47%;41%;41%;44%;43%;45%;48%;53%;48%;53%;53%;53%;50%;50%;53%;50%;50%;50%;57%;50%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;44%;44%;46%;46%;46%;46%;46%;45%;48%;41%;45%;45%;45%;45%;45%;45%;49%;49%;49%;47%;48%;42%;53%;52%;49%;44%;46%;47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1805;50%;51%;44%;54%;52%;52%;44%;46%;48%;47%;48%;48%;51%;50%;48%;48%;48%;49%;48%;47%;41%;41%;44%;43%;45%;48%;53%;48%;53%;53%;53%;50%;50%;53%;50%;50%;50%;57%;50%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;44%;44%;46%;46%;46%;46%;46%;45%;48%;41%;45%;45%;45%;45%;45%;45%;49%;49%;49%;47%;48%;42%;53%;52%;49%;44%;46%;47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1806;50%;51%;44%;54%;52%;52%;44%;46%;48%;47%;48%;48%;51%;50%;48%;48%;48%;49%;48%;47%;41%;41%;44%;43%;45%;48%;53%;48%;53%;53%;53%;50%;50%;53%;50%;50%;50%;57%;50%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;44%;44%;46%;46%;46%;46%;46%;45%;48%;41%;45%;45%;45%;45%;45%;45%;49%;49%;49%;47%;48%;42%;53%;52%;49%;44%;46%;47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1807;50%;51%;44%;54%;52%;52%;44%;46%;48%;47%;48%;48%;51%;50%;48%;48%;48%;49%;48%;47%;41%;41%;44%;43%;45%;48%;53%;48%;53%;53%;53%;50%;50%;53%;50%;50%;50%;57%;50%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;44%;44%;46%;46%;46%;46%;46%;45%;48%;41%;45%;45%;45%;45%;45%;45%;49%;49%;49%;47%;48%;42%;53%;52%;49%;44%;46%;47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1808;50%;51%;44%;54%;52%;52%;44%;46%;48%;47%;48%;48%;51%;50%;48%;48%;48%;49%;48%;47%;41%;41%;44%;43%;45%;48%;53%;48%;53%;53%;53%;50%;50%;53%;50%;50%;50%;57%;50%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;44%;44%;46%;46%;46%;46%;46%;45%;48%;41%;45%;45%;45%;45%;45%;45%;49%;49%;49%;47%;48%;42%;53%;52%;49%;44%;46%;47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1809;50%;51%;44%;54%;52%;52%;44%;46%;47%;47%;48%;48%;51%;50%;48%;48%;48%;49%;48%;47%;41%;41%;44%;43%;45%;48%;53%;48%;53%;53%;53%;50%;50%;53%;50%;50%;50%;57%;50%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;49%;44%;44%;46%;46%;46%;46%;46%;45%;48%;41%;45%;45%;45%;45%;45%;45%;49%;49%;49%;47%;48%;42%;53%;52%;49%;44%;46%;47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
