Data Figure 2.13a and 2.14a (2/3): Data series on posttax net income shares (bottom 50% share);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDistribution.xlsx sheet I8b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;Core Social-Democratic Europe (DE-DK-FR-GB-NL-NO-SE);Core Western Europe (DE-FR-GB);Core Nordic Europe (DK-NL-NO-SE);World (population-weighted);Europe (Pop. weighted);North America/ Oceania (pop.weighted);Latin America (pop.weighted);Middle East/North Africa (pop.weighted);Subsaharan Africa (pop.weighted);Russia/ Central Asia (pop.weighted);East Asia (pop.weighted);South & South-East Asia (pop.weighted);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1800;15%;15%;12%;11%;13%;13%;18%;18%;16%;18%;17%;17%;15%;17%;17%;17%;17%;17%;17%;17%;17%;12%;16%;12%;18%;14%;12%;14%;12%;12%;12%;12%;14%;17%;12%;12%;12%;12%;12%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;18%;18%;19%;17%;17%;17%;17%;18%;18%;18%;18%;18%;18%;18%;18%;18%;17%;17%;17%;17%;17%;16%;12%;13%;15%;18%;18%;18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1801;15%;15%;12%;11%;13%;13%;18%;18%;16%;18%;17%;17%;15%;17%;17%;17%;17%;17%;17%;17%;17%;12%;16%;12%;18%;14%;12%;14%;12%;12%;12%;12%;14%;17%;12%;12%;12%;12%;12%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;18%;18%;19%;17%;17%;17%;17%;18%;18%;18%;18%;18%;18%;18%;18%;18%;17%;17%;17%;17%;17%;16%;12%;13%;15%;18%;18%;18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1802;15%;15%;12%;11%;13%;13%;18%;18%;16%;18%;17%;17%;15%;17%;17%;17%;17%;17%;17%;17%;17%;12%;16%;12%;18%;14%;12%;14%;12%;12%;12%;12%;14%;17%;12%;12%;12%;12%;12%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;18%;18%;19%;17%;17%;17%;17%;18%;18%;18%;18%;18%;18%;18%;18%;18%;17%;17%;17%;17%;17%;16%;12%;13%;15%;18%;18%;18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1803;15%;14%;12%;11%;13%;13%;18%;18%;16%;18%;17%;17%;15%;17%;17%;17%;17%;17%;17%;17%;17%;12%;16%;12%;18%;14%;12%;14%;12%;12%;12%;12%;14%;17%;12%;12%;12%;12%;12%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;18%;18%;19%;17%;17%;17%;17%;18%;18%;18%;18%;18%;18%;18%;18%;18%;17%;17%;17%;17%;17%;16%;12%;13%;15%;18%;18%;18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1804;15%;14%;12%;11%;13%;13%;18%;18%;16%;18%;17%;17%;15%;17%;17%;17%;17%;17%;17%;17%;17%;12%;16%;12%;18%;14%;12%;14%;12%;12%;12%;12%;14%;17%;12%;12%;12%;12%;12%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;18%;18%;19%;17%;17%;17%;17%;18%;18%;18%;18%;18%;18%;18%;18%;18%;17%;17%;17%;17%;17%;16%;12%;13%;15%;18%;18%;18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1805;15%;15%;12%;11%;13%;13%;18%;18%;16%;18%;17%;17%;15%;17%;17%;17%;17%;17%;17%;17%;17%;12%;16%;12%;18%;14%;12%;14%;12%;12%;12%;12%;14%;17%;12%;12%;12%;12%;12%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;18%;18%;19%;17%;17%;17%;17%;18%;18%;18%;18%;18%;18%;18%;18%;18%;17%;17%;17%;17%;17%;16%;12%;13%;15%;18%;18%;18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1806;14%;15%;12%;11%;13%;13%;18%;18%;16%;18%;17%;17%;15%;17%;17%;17%;17%;17%;17%;17%;17%;12%;16%;12%;18%;14%;12%;14%;12%;12%;12%;12%;14%;17%;12%;12%;12%;12%;12%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;18%;18%;19%;17%;17%;17%;17%;18%;18%;18%;18%;18%;18%;18%;18%;18%;17%;17%;17%;17%;17%;16%;12%;13%;15%;18%;18%;18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1807;14%;15%;13%;11%;13%;13%;18%;18%;16%;18%;17%;17%;15%;17%;17%;17%;17%;17%;17%;17%;17%;12%;16%;12%;18%;14%;12%;14%;12%;12%;12%;12%;14%;17%;12%;12%;12%;12%;12%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;18%;18%;19%;17%;17%;17%;17%;18%;18%;18%;18%;18%;18%;18%;18%;18%;17%;17%;17%;17%;17%;16%;12%;13%;15%;18%;18%;18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1808;14%;15%;13%;11%;13%;13%;18%;18%;16%;18%;17%;17%;15%;17%;17%;17%;17%;17%;17%;17%;17%;12%;16%;12%;18%;14%;12%;14%;12%;12%;12%;12%;14%;17%;12%;12%;12%;12%;12%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;18%;18%;19%;17%;17%;17%;17%;18%;18%;18%;18%;18%;18%;18%;18%;18%;17%;17%;17%;17%;17%;16%;12%;13%;15%;18%;18%;18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1809;14%;15%;13%;11%;13%;13%;18%;18%;16%;18%;17%;17%;15%;17%;17%;17%;17%;17%;17%;17%;17%;12%;16%;12%;18%;14%;12%;14%;12%;12%;12%;12%;14%;17%;12%;12%;12%;12%;12%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;15%;18%;18%;19%;17%;17%;17%;17%;18%;18%;18%;18%;18%;18%;18%;18%;18%;17%;17%;17%;17%;17%;16%;12%;13%;15%;18%;18%;18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
