Data Figure 2.13a and 2.14a (3/3): Data series on posttax net income shares (middle 40% share);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDistribution.xlsx sheet I8h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;Core Social-Democratic Europe (DE-DK-FR-GB-NL-NO-SE);Core Western Europe (DE-FR-GB);Core Nordic Europe (DK-NL-NO-SE);World (population-weighted);Europe (Pop. weighted);North America/ Oceania (pop.weighted);Latin America (pop.weighted);Middle East/North Africa (pop.weighted);Subsaharan Africa (pop.weighted);Russia/ Central Asia (pop.weighted);East Asia (pop.weighted);South & South-East Asia (pop.weighted);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1800;36%;35%;44%;35%;35%;35%;38%;35%;36%;35%;34%;34%;34%;34%;34%;34%;34%;34%;34%;36%;43%;47%;40%;45%;38%;38%;35%;38%;35%;35%;35%;38%;35%;30%;38%;38%;38%;31%;38%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;38%;38%;35%;37%;36%;36%;36%;38%;34%;41%;38%;38%;38%;38%;38%;38%;34%;34%;34%;36%;35%;42%;35%;35%;36%;38%;35%;36%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1801;36%;35%;44%;35%;35%;35%;38%;35%;36%;35%;34%;34%;34%;34%;34%;34%;34%;34%;34%;36%;43%;47%;40%;45%;38%;38%;35%;38%;35%;35%;35%;38%;35%;30%;38%;38%;38%;31%;38%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;38%;38%;35%;37%;36%;36%;36%;38%;34%;41%;38%;38%;38%;38%;38%;38%;34%;34%;34%;36%;35%;42%;35%;35%;36%;38%;35%;36%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1802;35%;35%;44%;35%;35%;35%;38%;35%;36%;35%;34%;34%;34%;34%;34%;34%;34%;34%;34%;36%;43%;47%;40%;45%;38%;38%;35%;38%;35%;35%;35%;38%;35%;30%;38%;38%;38%;31%;38%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;38%;38%;35%;37%;36%;36%;36%;38%;34%;41%;38%;38%;38%;38%;38%;38%;34%;34%;34%;36%;35%;42%;35%;35%;36%;38%;35%;36%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1803;35%;35%;44%;35%;35%;35%;38%;35%;36%;35%;34%;34%;34%;34%;34%;34%;34%;34%;34%;36%;43%;47%;40%;45%;38%;38%;35%;38%;35%;35%;35%;38%;35%;30%;38%;38%;38%;31%;38%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;38%;38%;35%;37%;36%;36%;36%;38%;34%;41%;38%;38%;38%;38%;38%;38%;34%;34%;34%;36%;35%;42%;35%;35%;36%;38%;35%;36%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1804;35%;35%;44%;35%;35%;35%;38%;35%;36%;35%;34%;34%;34%;34%;34%;34%;34%;34%;34%;36%;43%;47%;40%;45%;38%;38%;35%;38%;35%;35%;35%;38%;35%;30%;38%;38%;38%;31%;38%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;38%;38%;35%;37%;36%;36%;36%;38%;34%;41%;38%;38%;38%;38%;38%;38%;34%;34%;34%;36%;35%;42%;35%;35%;36%;38%;35%;36%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1805;35%;35%;44%;35%;35%;35%;38%;35%;36%;35%;34%;34%;34%;34%;34%;34%;34%;34%;34%;36%;43%;47%;40%;45%;38%;38%;35%;38%;35%;35%;35%;38%;35%;30%;38%;38%;38%;31%;38%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;38%;38%;35%;37%;36%;36%;36%;38%;34%;41%;38%;38%;38%;38%;38%;38%;34%;34%;34%;36%;35%;42%;35%;35%;36%;38%;35%;36%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1806;36%;35%;44%;35%;35%;35%;38%;35%;36%;35%;34%;34%;34%;34%;34%;34%;34%;34%;34%;36%;43%;47%;40%;45%;38%;38%;35%;38%;35%;35%;35%;38%;35%;30%;38%;38%;38%;31%;38%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;38%;38%;35%;37%;36%;36%;36%;38%;34%;41%;38%;38%;38%;38%;38%;38%;34%;34%;34%;36%;35%;42%;35%;35%;36%;38%;35%;36%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1807;36%;35%;44%;35%;35%;35%;38%;35%;36%;35%;34%;34%;34%;34%;34%;34%;34%;34%;34%;36%;43%;47%;40%;45%;38%;38%;35%;38%;35%;35%;35%;38%;35%;30%;38%;38%;38%;31%;38%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;38%;38%;35%;37%;36%;36%;36%;38%;34%;41%;38%;38%;38%;38%;38%;38%;34%;34%;34%;36%;35%;42%;35%;35%;36%;38%;35%;36%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1808;36%;35%;44%;35%;35%;35%;38%;35%;36%;35%;34%;34%;34%;34%;34%;34%;34%;34%;34%;36%;43%;47%;40%;45%;38%;38%;35%;38%;35%;35%;35%;38%;35%;30%;38%;38%;38%;31%;38%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;38%;38%;35%;37%;36%;36%;36%;38%;34%;41%;38%;38%;38%;38%;38%;38%;34%;34%;34%;36%;35%;42%;35%;35%;36%;38%;35%;36%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1809;36%;35%;44%;35%;35%;35%;38%;35%;36%;35%;34%;34%;34%;34%;34%;34%;34%;34%;34%;36%;43%;47%;40%;45%;38%;38%;35%;38%;35%;35%;35%;38%;35%;30%;38%;38%;38%;31%;38%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;36%;38%;38%;35%;37%;36%;36%;36%;38%;34%;41%;38%;38%;38%;38%;38%;38%;34%;34%;34%;36%;35%;42%;35%;35%;36%;38%;35%;36%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
