Data Figure 2.18a (1/2): Data series on Share Population with higher augmented GDI compared to PI level;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDistribution.xlsx sheet O6a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America Oceania;Latin America;Middle East North Africa;Sub-Saharan Africa;Russia Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI
2025;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2026;100%;100%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;99%;100%;100%;100%;100%;100%;99%;99%;100%;99%;100%;98%;100%;100%;100%;100%;98%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;100%;100%;100%;98%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2027;100%;99%;98%;99%;100%;100%;99%;100%;100%;99%;100%;100%;100%;99%;100%;100%;99%;100%;99%;100%;98%;100%;100%;100%;100%;100%;99%;99%;100%;99%;100%;97%;100%;100%;100%;100%;98%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;100%;99%;99%;97%;99%;100%;100%;100%;100%;100%;100%;100%;100%;99%
2028;99%;99%;97%;99%;99%;100%;99%;99%;100%;98%;99%;99%;99%;99%;99%;99%;99%;99%;99%;99%;97%;99%;99%;99%;100%;99%;99%;99%;100%;99%;100%;96%;100%;99%;100%;100%;97%;98%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;100%;97%;99%;96%;99%;100%;100%;100%;100%;100%;100%;99%;100%;99%
2029;99%;99%;97%;99%;99%;100%;99%;96%;99%;98%;99%;99%;99%;98%;99%;98%;98%;99%;98%;99%;96%;99%;99%;99%;100%;99%;99%;98%;100%;99%;100%;95%;100%;99%;100%;100%;96%;97%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;96%;95%;98%;94%;98%;100%;100%;100%;100%;100%;100%;99%;100%;94%
2030;96%;97%;96%;99%;98%;100%;99%;86%;99%;97%;98%;98%;94%;98%;98%;97%;96%;57%;97%;99%;95%;99%;98%;99%;100%;99%;99%;98%;99%;98%;100%;94%;100%;99%;100%;100%;95%;94%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;98%;100%;86%;88%;90%;93%;87%;100%;100%;100%;100%;100%;100%;93%;100%;86%
2031;93%;89%;95%;99%;97%;100%;99%;71%;98%;90%;98%;98%;50%;95%;97%;96%;91%;30%;97%;99%;94%;98%;98%;98%;100%;99%;98%;96%;99%;98%;99%;93%;100%;99%;100%;100%;88%;91%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;98%;100%;71%;53%;85%;91%;85%;100%;100%;100%;100%;100%;98%;85%;99%;84%
2032;90%;84%;92%;98%;97%;100%;98%;62%;98%;80%;97%;97%;35%;89%;95%;94%;79%;21%;95%;98%;90%;98%;98%;98%;100%;97%;98%;94%;98%;96%;99%;93%;100%;99%;100%;100%;85%;89%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;97%;99%;62%;46%;83%;88%;84%;100%;100%;100%;100%;100%;95%;80%;98%;82%
2033;89%;79%;88%;97%;97%;100%;97%;59%;97%;71%;84%;96%;32%;83%;83%;84%;63%;18%;91%;98%;86%;98%;97%;97%;100%;96%;96%;92%;95%;95%;99%;92%;100%;98%;100%;100%;84%;88%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;95%;99%;58%;44%;78%;86%;84%;100%;100%;93%;100%;100%;92%;77%;95%;81%
2034;88%;76%;88%;96%;96%;100%;97%;56%;95%;69%;68%;94%;31%;82%;79%;75%;50%;19%;88%;98%;85%;97%;97%;96%;100%;93%;96%;91%;93%;95%;99%;91%;100%;97%;100%;100%;83%;88%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;98%;100%;94%;99%;55%;45%;75%;85%;83%;99%;99%;88%;100%;100%;88%;75%;93%;80%
