Data Figure 2.18a (2/2): Data series on Share Population with higher GDI compared to PC level;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDistribution.xlsx sheet O4a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America Oceania;Latin America;Middle East North Africa;Sub-Saharan Africa;Russia Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI
2025;90%;95%;78%;100%;83%;71%;97%;91%;98%;94%;86%;100%;100%;100%;70%;100%;100%;100%;99%;99%;73%;100%;100%;92%;96%;97%;100%;99%;100%;100%;100%;99%;94%;57%;100%;100%;100%;45%;98%;100%;99%;100%;100%;100%;100%;100%;100%;100%;100%;31%;94%;100%;93%;96%;100%;76%;31%;98%;100%;97%;94%;91%;100%;92%;82%;99%
2026;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;100%;100%;100%;99%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2027;100%;99%;99%;99%;100%;100%;100%;100%;100%;99%;100%;100%;100%;99%;100%;99%;99%;100%;99%;100%;99%;100%;99%;100%;100%;100%;99%;99%;100%;99%;100%;98%;100%;100%;100%;100%;99%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;100%;99%;100%;98%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2028;100%;99%;98%;99%;99%;100%;100%;100%;100%;99%;99%;99%;99%;99%;99%;99%;99%;99%;99%;99%;98%;99%;99%;99%;100%;99%;99%;99%;100%;99%;100%;97%;100%;99%;100%;100%;98%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;100%;97%;99%;97%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2029;99%;98%;97%;99%;99%;100%;99%;99%;100%;98%;99%;99%;98%;98%;98%;98%;98%;98%;98%;99%;96%;99%;98%;98%;100%;99%;99%;98%;99%;99%;99%;96%;100%;99%;100%;100%;97%;98%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;100%;92%;98%;95%;99%;100%;100%;100%;100%;100%;100%;100%;100%;99%
2030;97%;86%;94%;98%;99%;100%;99%;94%;100%;96%;98%;97%;38%;86%;97%;90%;95%;18%;96%;98%;94%;94%;97%;96%;100%;99%;98%;98%;90%;98%;99%;94%;100%;99%;100%;99%;97%;97%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;99%;99%;44%;85%;94%;99%;100%;100%;100%;100%;100%;100%;99%;100%;99%
2031;94%;70%;80%;95%;97%;100%;98%;88%;99%;74%;54%;79%;17%;62%;76%;66%;78%;14%;84%;97%;82%;59%;70%;70%;100%;95%;95%;96%;85%;95%;96%;93%;99%;99%;99%;94%;96%;91%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;98%;98%;93%;39%;73%;90%;91%;100%;100%;100%;100%;100%;100%;99%;100%;96%
2032;90%;55%;67%;90%;93%;100%;95%;83%;99%;50%;31%;50%;14%;41%;60%;57%;23%;12%;68%;88%;70%;44%;51%;38%;100%;85%;92%;93%;83%;90%;92%;91%;97%;95%;90%;90%;92%;88%;96%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;97%;93%;88%;36%;60%;80%;86%;99%;100%;100%;100%;100%;99%;99%;99%;92%
2033;87%;43%;58%;88%;90%;100%;91%;75%;98%;41%;10%;40%;13%;18%;48%;41%;15%;11%;56%;74%;60%;38%;43%;35%;100%;80%;91%;90%;81%;88%;88%;88%;95%;91%;87%;88%;85%;86%;93%;100%;98%;100%;100%;100%;100%;100%;100%;100%;99%;100%;94%;88%;79%;33%;52%;70%;85%;97%;100%;96%;100%;99%;97%;96%;98%;88%
2034;84%;38%;53%;85%;88%;99%;87%;67%;96%;38%;10%;36%;13%;15%;43%;32%;13%;11%;50%;64%;55%;34%;41%;32%;99%;75%;89%;88%;79%;85%;85%;87%;92%;89%;85%;87%;82%;84%;90%;100%;96%;100%;98%;100%;100%;98%;99%;100%;96%;100%;92%;83%;70%;33%;48%;64%;83%;95%;99%;88%;99%;98%;94%;91%;96%;86%
2035;81%;34%;51%;83%;86%;98%;85%;61%;92%;35%;10%;34%;12%;14%;39%;29%;13%;11%;45%;58%;52%;32%;39%;30%;98%;73%;88%;87%;78%;84%;82%;85%;90%;87%;83%;86%;80%;83%;88%;100%;94%;99%;95%;100%;100%;96%;97%;100%;93%;99%;91%;79%;64%;32%;45%;61%;82%;92%;94%;85%;98%;96%;91%;88%;94%;85%
2036;78%;30%;48%;81%;84%;96%;82%;57%;91%;32%;9%;23%;12%;13%;37%;26%;11%;11%;40%;51%;49%;30%;37%;26%;95%;68%;87%;85%;77%;82%;79%;83%;88%;85%;81%;84%;75%;82%;86%;100%;91%;96%;93%;100%;100%;94%;95%;100%;91%;97%;91%;75%;59%;31%;42%;58%;81%;89%;93%;82%;96%;94%;87%;85%;92%;83%
2037;76%;28%;45%;80%;82%;94%;79%;54%;89%;30%;9%;23%;11%;12%;31%;25%;11%;11%;38%;47%;46%;28%;36%;24%;93%;65%;86%;84%;76%;81%;77%;82%;87%;84%;77%;83%;72%;80%;85%;100%;90%;93%;91%;98%;99%;91%;93%;100%;90%;94%;90%;70%;56%;31%;40%;56%;80%;86%;93%;79%;94%;92%;84%;83%;88%;82%
