Data Figure 2.18b (1/2): Data series on Share Population with higher GDI compared to PI level;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDistribution.xlsx sheet O5a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America Oceania;Latin America;Middle East North Africa;Sub-Saharan Africa;Russia Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI
2025;90%;95%;78%;100%;83%;71%;97%;91%;98%;94%;86%;100%;100%;100%;70%;100%;100%;100%;99%;99%;73%;100%;100%;92%;96%;97%;100%;99%;100%;100%;100%;99%;94%;57%;100%;100%;100%;45%;98%;100%;99%;100%;100%;100%;100%;100%;100%;100%;100%;31%;94%;100%;93%;96%;100%;76%;31%;98%;100%;97%;94%;91%;100%;92%;82%;99%
2026;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;100%;100%;100%;99%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2027;100%;99%;99%;99%;100%;100%;100%;100%;100%;99%;100%;100%;100%;99%;100%;99%;99%;100%;99%;100%;99%;100%;99%;100%;100%;100%;99%;99%;100%;99%;100%;98%;100%;100%;100%;100%;99%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;100%;98%;99%;98%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2028;99%;99%;98%;99%;99%;100%;99%;99%;100%;98%;99%;99%;99%;99%;99%;99%;98%;99%;98%;99%;98%;99%;99%;99%;100%;99%;99%;99%;100%;99%;100%;97%;100%;99%;100%;100%;98%;98%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;100%;97%;99%;97%;99%;100%;100%;100%;100%;100%;100%;99%;100%;99%
2029;96%;90%;97%;99%;99%;100%;99%;85%;100%;97%;98%;98%;45%;97%;98%;97%;95%;32%;97%;99%;96%;99%;98%;98%;100%;99%;99%;98%;99%;99%;100%;95%;100%;99%;100%;100%;97%;97%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;84%;81%;92%;95%;98%;100%;100%;100%;100%;100%;100%;99%;100%;99%
2030;89%;69%;94%;98%;98%;100%;99%;57%;99%;61%;45%;91%;13%;65%;75%;67%;13%;12%;86%;98%;94%;91%;97%;96%;100%;97%;98%;97%;91%;98%;99%;94%;100%;99%;100%;100%;95%;92%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;98%;99%;57%;35%;71%;93%;86%;100%;100%;100%;100%;100%;99%;91%;99%;89%
2031;84%;50%;76%;95%;97%;100%;99%;47%;98%;39%;10%;50%;11%;23%;53%;57%;10%;11%;65%;96%;77%;58%;71%;72%;100%;88%;95%;91%;86%;94%;99%;92%;99%;98%;100%;100%;86%;88%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;98%;99%;47%;31%;56%;86%;82%;100%;100%;99%;100%;100%;94%;81%;97%;84%
2032;81%;41%;64%;92%;95%;100%;96%;43%;96%;30%;9%;39%;10%;14%;42%;32%;9%;10%;51%;86%;66%;45%;52%;39%;99%;80%;93%;88%;83%;89%;97%;89%;99%;95%;99%;99%;80%;85%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;94%;97%;42%;29%;46%;74%;80%;99%;100%;86%;100%;100%;87%;75%;93%;81%
2033;78%;33%;56%;89%;92%;100%;92%;40%;94%;25%;9%;27%;9%;12%;31%;25%;9%;10%;41%;73%;57%;39%;44%;36%;99%;75%;91%;86%;82%;86%;94%;87%;98%;91%;97%;97%;72%;83%;97%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;100%;92%;92%;39%;28%;41%;66%;79%;97%;99%;80%;100%;99%;81%;70%;85%;79%
2034;76%;29%;51%;87%;89%;100%;90%;38%;90%;22%;8%;23%;8%;11%;29%;23%;8%;10%;35%;64%;52%;35%;41%;34%;97%;71%;90%;84%;80%;85%;91%;85%;97%;89%;91%;93%;70%;81%;94%;100%;100%;100%;100%;100%;100%;100%;100%;100%;96%;100%;91%;89%;37%;28%;38%;61%;78%;95%;94%;76%;100%;98%;75%;66%;79%;77%
2035;75%;27%;48%;85%;87%;100%;87%;36%;88%;21%;8%;22%;8%;10%;28%;22%;8%;10%;31%;59%;49%;33%;40%;32%;95%;67%;89%;82%;79%;83%;89%;84%;95%;87%;89%;91%;68%;79%;92%;100%;100%;100%;100%;100%;100%;100%;100%;100%;93%;100%;90%;85%;35%;27%;36%;59%;78%;93%;93%;73%;100%;96%;71%;64%;74%;76%
2036;74%;25%;46%;84%;86%;100%;85%;35%;87%;19%;7%;21%;5%;10%;26%;19%;8%;10%;29%;53%;47%;31%;38%;30%;92%;64%;88%;80%;78%;82%;87%;82%;93%;86%;88%;90%;65%;76%;91%;100%;99%;100%;100%;100%;100%;100%;100%;100%;92%;100%;89%;82%;34%;27%;34%;57%;77%;91%;93%;70%;100%;94%;67%;62%;69%;74%
2037;72%;22%;44%;82%;84%;99%;83%;34%;85%;18%;7%;19%;0%;9%;23%;18%;8%;10%;28%;49%;44%;30%;37%;29%;90%;62%;87%;78%;77%;81%;85%;80%;92%;85%;86%;89%;63%;74%;89%;100%;98%;100%;100%;100%;100%;100%;100%;100%;90%;100%;88%;79%;33%;26%;33%;55%;77%;87%;92%;68%;99%;93%;64%;60%;67%;73%
2038;72%;22%;42%;81%;83%;99%;80%;33%;85%;18%;7%;18%;0%;9%;22%;18%;7%;10%;27%;47%;42%;30%;36%;28%;86%;60%;86%;76%;76%;80%;83%;75%;90%;84%;85%;88%;62%;72%;88%;100%;97%;100%;100%;100%;100%;100%;100%;100%;90%;100%;85%;76%;32%;26%;33%;54%;77%;85%;92%;67%;99%;91%;61%;58%;64%;73%
2039;71%;20%;41%;80%;82%;99%;77%;32%;84%;17%;7%;17%;0%;9%;21%;17%;7%;10%;27%;43%;41%;29%;36%;26%;84%;59%;85%;74%;76%;79%;82%;71%;89%;82%;85%;87%;61%;70%;87%;100%;96%;100%;100%;100%;100%;100%;99%;100%;89%;100%;81%;73%;31%;26%;32%;53%;77%;82%;92%;65%;98%;88%;58%;56%;62%;72%
2040;70%;20%;40%;79%;81%;99%;74%;31%;82%;17%;6%;17%;0%;9%;20%;16%;7%;10%;26%;42%;40%;28%;35%;26%;82%;58%;85%;73%;75%;78%;80%;69%;88%;81%;84%;87%;60%;68%;86%;100%;95%;100%;99%;100%;100%;99%;98%;100%;88%;100%;78%;71%;30%;26%;31%;52%;77%;80%;91%;64%;98%;85%;56%;55%;60%;72%
2041;70%;19%;39%;78%;80%;99%;72%;31%;82%;17%;6%;16%;0%;9%;20%;15%;7%;10%;25%;40%;39%;28%;34%;25%;80%;57%;84%;72%;75%;77%;80%;67%;88%;80%;83%;86%;60%;67%;86%;100%;95%;100%;99%;100%;100%;99%;98%;100%;88%;100%;76%;69%;30%;26%;31%;51%;76%;79%;91%;63%;97%;83%;54%;54%;58%;71%
2042;69%;19%;38%;78%;79%;99%;71%;30%;81%;17%;6%;16%;0%;9%;19%;15%;7%;10%;24%;39%;38%;28%;34%;24%;78%;56%;84%;71%;74%;77%;79%;65%;87%;79%;83%;86%;59%;66%;85%;100%;94%;100%;98%;100%;100%;99%;97%;100%;88%;100%;74%;68%;29%;26%;30%;51%;76%;77%;91%;63%;97%;81%;53%;53%;57%;71%
2043;69%;18%;37%;77%;79%;99%;69%;29%;81%;17%;6%;15%;0%;9%;19%;14%;7%;9%;23%;38%;37%;27%;33%;24%;76%;56%;83%;70%;74%;76%;78%;63%;87%;77%;82%;86%;59%;65%;85%;100%;94%;100%;98%;100%;100%;98%;97%;100%;87%;100%;72%;66%;28%;26%;30%;50%;76%;75%;91%;62%;96%;79%;51%;52%;56%;70%
