Data Figure 2.18b (2/2): Data series on Share Population with higher Personal Wealth compared to 2025 level;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDistribution.xlsx sheet O7a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America Oceania;Latin America;Middle East North Africa;Sub-Saharan Africa;Russia Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI
2025;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2026;86%;84%;65%;85%;89%;100%;90%;64%;95%;73%;78%;88%;100%;81%;79%;57%;100%;72%;65%;100%;68%;52%;49%;71%;65%;100%;80%;59%;100%;62%;100%;92%;100%;100%;80%;100%;11%;82%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;80%;100%;64%;75%;87%;11%;15%;100%;90%;100%;100%;100%;100%;100%;100%;100%
2027;96%;97%;95%;100%;94%;100%;100%;85%;100%;100%;89%;100%;100%;97%;100%;70%;100%;86%;89%;100%;99%;71%;72%;99%;100%;100%;100%;91%;100%;100%;100%;100%;100%;100%;86%;100%;33%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;86%;85%;91%;73%;43%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2028;98%;99%;96%;100%;96%;100%;100%;91%;100%;99%;96%;99%;100%;99%;100%;78%;100%;93%;99%;100%;99%;74%;79%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;92%;100%;56%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;92%;91%;92%;96%;54%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2029;99%;99%;96%;100%;98%;100%;100%;96%;100%;99%;100%;99%;99%;99%;99%;92%;100%;95%;98%;100%;99%;76%;83%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;67%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;97%;93%;93%;96%;75%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2030;99%;99%;96%;100%;98%;100%;100%;99%;100%;99%;100%;99%;99%;99%;99%;99%;100%;98%;98%;100%;99%;78%;84%;99%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;70%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;97%;94%;95%;97%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2031;100%;99%;96%;100%;98%;100%;100%;100%;100%;99%;99%;99%;99%;99%;99%;99%;100%;98%;98%;100%;99%;80%;84%;98%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;71%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;94%;95%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2032;99%;99%;96%;100%;98%;100%;100%;99%;100%;99%;99%;99%;99%;99%;99%;99%;100%;97%;97%;100%;98%;83%;84%;98%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;71%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;95%;94%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2033;99%;99%;96%;100%;98%;100%;100%;99%;100%;99%;99%;98%;99%;98%;99%;98%;100%;96%;97%;100%;98%;84%;84%;97%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;72%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;94%;93%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%
2034;99%;99%;95%;100%;98%;100%;100%;99%;100%;99%;99%;98%;99%;98%;98%;98%;100%;96%;97%;100%;97%;88%;84%;97%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;71%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;99%;99%;94%;92%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%
