Data Figure 2.5: Data series on average education expenditures (public + private) per capital (2025 Euro PPP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx Sheet G3b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/ North Africa;Sub-Saharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;
1970;274;663;1 288;167;167;61;564;123;31;764;1 459;348;727;825;714;1 483;786;1 426;851;299;1 330;1 295;1 029;926;147;320;112;284;129;223;149;196;164;63;231;56;528;144;229;60;155;17;73;13;62;35;26;5;281;50;609;500;21;906;151;98;93;18;21;39;13;51;70;41;26;87;
1971;287;693;1 348;188;182;70;590;129;33;799;1 499;361;771;858;731;1 522;822;1 445;896;320;1 391;1 351;1 087;987;165;366;131;315;140;250;162;206;158;69;272;61;690;148;233;66;179;18;87;14;68;52;27;6;305;56;640;521;23;955;166;105;101;17;23;41;14;54;72;45;27;96;
1972;304;730;1 435;208;210;77;606;141;36;844;1 543;395;815;909;761;1 538;869;1 493;956;340;1 484;1 429;1 141;1 026;181;401;151;305;151;286;174;251;212;74;335;67;906;156;250;67;193;20;99;16;66;64;28;7;318;61;657;537;25;1 059;168;111;113;16;23;44;14;54;71;81;27;104;
1973;324;777;1 528;227;232;87;658;156;38;886;1 610;428;869;980;834;1 596;896;1 568;1 018;361;1 579;1 515;1 247;1 071;195;439;176;276;159;319;184;355;235;80;379;74;1 219;160;253;78;223;20;116;18;58;76;30;8;350;68;719;574;27;1 182;185;122;128;17;23;50;15;62;78;79;29;111;
1974;335;804;1 540;254;280;99;687;160;39;893;1 591;466;925;967;899;1 594;903;1 707;1 041;390;1 585;1 561;1 306;1 109;214;500;201;289;175;363;202;636;239;87;389;82;2 900;168;251;82;235;20;131;18;64;99;31;10;386;75;758;591;29;1 206;217;136;140;17;23;55;16;65;78;77;30;117;
1975;342;814;1 561;271;281;105;711;168;44;915;1 589;464;931;954;868;1 675;998;1 769;1 040;418;1 594;1 662;1 396;1 109;225;524;215;245;177;391;214;603;245;98;378;92;2 602;177;239;83;263;20;141;21;65;106;32;13;410;81;788;610;32;1 252;233;142;151;18;26;61;17;70;84;99;32;130;
1976;362;863;1 676;289;339;108;739;173;47;970;1 723;490;1 005;996;943;1 759;1 050;1 829;1 090;446;1 716;1 760;1 495;1 128;237;549;240;246;181;415;226;711;293;113;491;107;3 479;191;277;75;281;17;148;26;64;117;37;15;414;82;821;632;31;1 304;250;147;165;18;30;66;17;75;80;113;34;139;
1977;379;896;1 778;306;364;117;752;185;50;1 024;1 758;494;1 047;1 030;960;1 818;1 087;1 849;1 126;476;1 826;1 836;1 589;1 101;247;608;254;262;186;433;238;733;333;125;515;116;3 792;195;289;79;316;16;172;30;72;137;40;16;427;87;843;637;35;1 379;279;151;180;19;31;71;19;77;84;122;40;147;
1978;395;927;1 895;328;376;117;779;199;52;1 063;1 784;494;1 089;1 082;988;1 881;1 147;1 852;1 157;500;1 952;1 927;1 670;1 101;271;617;272;283;203;484;252;656;389;141;482;123;3 718;197;318;72;355;16;194;31;82;129;44;16;436;89;877;655;40;1 468;315;162;194;20;32;74;20;81;85;125;39;153;
1979;411;967;1 963;356;384;129;797;217;49;1 127;1 833;496;1 130;1 129;1 049;1 877;1 154;1 980;1 202;519;2 024;1 964;1 748;1 096;285;687;296;302;215;539;260;641;408;160;408;135;3 858;195;341;74;353;15;209;34;89;143;49;16;482;93;904;664;44;1 606;342;179;214;20;31;75;21;84;85;79;43;151;
