Data Figure 2.6: Data series on average health expenditures (public + private) per capital (2025 Euro PPP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx Sheet G3c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/ North Africa;Sub-Saharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;
1970;278;788;1 292;358;216;70;247;75;42;1 300;1 898;282;979;665;1 059;1 209;829;1 157;1 018;244;1 339;1 277;1 007;813;135;931;408;346;269;330;181;341;148;93;430;67;725;117;265;18;163;9;69;24;74;35;6;37;438;52;270;216;8;587;77;70;103;12;45;37;29;39;65;32;31;76;
1971;294;849;1 364;390;225;75;261;76;44;1 462;2 023;252;1 056;694;1 153;1 205;896;1 251;1 079;264;1 410;1 397;1 052;815;143;991;459;411;293;345;192;365;128;95;462;68;878;112;268;18;172;10;72;25;78;42;6;38;456;54;285;229;9;592;85;77;111;11;46;39;30;39;69;36;33;83;
1972;313;918;1 445;418;251;76;272;84;45;1 611;2 104;317;1 133;730;1 261;1 175;1 082;1 292;1 160;284;1 502;1 450;1 053;873;150;1 021;514;399;318;370;201;453;156;113;524;70;1 077;109;285;18;171;10;74;26;72;44;6;38;457;55;295;240;9;666;88;84;123;10;48;42;30;40;72;34;33;83;
1973;332;990;1 525;444;267;80;298;91;48;1 732;2 138;391;1 227;819;1 355;1 231;1 128;1 325;1 243;305;1 594;1 460;1 100;905;155;1 055;581;315;336;390;208;653;159;102;553;73;1 367;124;286;20;184;10;79;26;61;46;6;39;485;58;326;260;10;723;99;95;138;11;48;48;31;43;84;36;35;91;
1974;352;1 061;1 570;485;312;86;314;100;49;1 879;2 300;438;1 325;878;1 450;1 244;1 128;1 539;1 280;333;1 640;1 480;1 193;1 028;163;1 142;644;348;372;421;223;1 193;151;105;531;77;3 089;142;281;20;182;10;82;25;66;54;6;42;517;61;346;272;10;813;117;109;150;11;48;52;32;44;88;36;36;97;
1975;362;1 091;1 638;501;302;87;329;107;52;2 053;2 356;295;1 351;898;1 384;1 404;1 356;1 641;1 287;361;1 684;1 652;1 472;1 103;165;1 143;672;289;377;432;232;1 151;146;111;489;82;2 647;163;266;19;191;10;83;28;64;52;6;49;533;62;362;285;11;872;128;116;161;11;51;56;35;47;99;41;38;104;
1976;381;1 158;1 748;524;353;85;345;112;54;2 159;2 559;348;1 465;918;1 482;1 455;1 465;1 736;1 358;389;1 810;1 748;1 434;1 057;168;1 148;733;303;389;437;241;1 381;164;127;602;91;3 394;162;306;17;194;8;81;31;62;53;6;54;524;61;380;299;10;918;139;124;175;11;53;57;35;47;99;48;39;107;
1977;393;1 184;1 846;545;364;88;355;117;58;2 203;2 540;407;1 532;902;1 422;1 523;1 578;1 929;1 411;419;1 924;1 786;1 441;1 088;170;1 224;759;390;400;439;249;1 449;178;137;602;95;3 563;152;317;17;208;8;89;35;67;57;7;56;526;62;393;306;11;948;158;130;189;12;55;62;37;50;109;57;46;115;
1978;410;1 232;1 951;569;361;85;370;129;60;2 288;2 608;441;1 601;925;1 521;1 503;1 696;1 918;1 459;444;2 044;1 837;1 465;1 035;181;1 199;797;446;439;471;258;1 317;198;148;540;97;3 375;149;347;15;223;7;95;34;74;50;7;51;524;61;411;319;12;1 049;181;144;202;12;59;64;39;52;115;66;45;122;
1979;424;1 275;2 022;603;359;90;383;138;61;2 401;2 721;357;1 667;944;1 605;1 463;1 746;1 999;1 525;465;2 121;1 929;1 464;1 045;185;1 292;850;486;465;507;263;1 308;199;155;439;103;3 394;155;370;15;213;7;98;36;79;52;8;49;567;61;427;327;13;1 124;199;163;222;12;57;71;40;54;121;70;49;131;
