Data Figure 2.9b: Wealth Tax Simulations: Total Revenue in Each Bracket (% World GDP);;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx sheet E4r;;;;;;;; 10-50; 50-500; 500-5000;5000+;;;;;;;;;
;;;;;;;2026-2035;16,3%;19,8%;16,5%;10,9%;63,5%;;;;;;;;
year;0;1;5;8;10;12;15;20;50;100;200;500;1000;5000;Total;;Millionaires;Deka Millionaires;Centi Millionaires;Billionaires
2026;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;0,7%;0,8%;0,7%;1,0%;0,9%;1,8%;4,2%;10,3%;;0,9%;2,4%;2,7%;4,2%
2027;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,2%;0,8%;0,7%;0,7%;1,0%;0,7%;1,4%;3,3%;8,9%;;1,1%;2,4%;2,1%;3,3%
2028;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,2%;0,9%;0,8%;0,8%;0,8%;0,7%;1,7%;1,8%;7,8%;;1,3%;2,3%;2,4%;1,8%
2029;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,3%;1,0%;0,7%;0,7%;0,7%;0,5%;1,9%;0,8%;6,8%;;1,5%;2,2%;2,4%;0,8%
2030;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,3%;1,1%;0,7%;0,7%;0,7%;0,4%;1,4%;0,5%;6,1%;;1,6%;2,1%;1,8%;0,5%
2031;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,3%;1,2%;0,7%;0,6%;0,7%;0,3%;1,1%;0,3%;5,5%;;1,8%;2,0%;1,4%;0,3%
2032;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,5%;1,1%;0,8%;0,5%;0,5%;0,3%;1,0%;0,0%;5,1%;;1,9%;1,8%;1,4%;0,0%
2033;0,0%;0,0%;0,0%;0,0%;0,1%;0,2%;0,5%;1,1%;0,7%;0,5%;0,5%;0,2%;0,8%;;4,7%;;2,0%;1,7%;1,0%;0,0%
2034;0,0%;0,0%;0,0%;0,0%;0,1%;0,3%;0,5%;1,2%;0,6%;0,4%;0,4%;0,2%;0,6%;;4,3%;;2,1%;1,5%;0,8%;
2035;0,0%;0,0%;0,0%;0,0%;0,1%;0,3%;0,5%;1,2%;0,6%;0,4%;0,4%;0,1%;0,5%;;4,1%;;2,1%;1,4%;0,6%;
2036;0,0%;0,0%;0,0%;0,0%;0,1%;0,4%;0,5%;1,1%;0,5%;0,4%;0,3%;0,1%;0,4%;;3,8%;;2,1%;1,2%;0,5%;
2037;0,0%;0,0%;0,0%;0,0%;0,2%;0,4%;0,5%;1,1%;0,5%;0,3%;0,3%;0,2%;0,1%;;3,5%;;2,1%;1,1%;0,3%;
2038;0,0%;0,0%;0,0%;0,0%;0,2%;0,4%;0,5%;1,1%;0,5%;0,3%;0,2%;0,2%;0,1%;;3,2%;;2,0%;0,9%;0,2%;
2039;0,0%;0,0%;0,0%;0,0%;0,1%;0,4%;0,5%;0,9%;0,4%;0,2%;0,1%;0,2%;0,0%;;3,0%;;2,0%;0,8%;0,2%;
2040;0,0%;0,0%;0,0%;0,0%;0,2%;0,4%;0,5%;0,8%;0,3%;0,2%;0,1%;0,1%;0,0%;;2,7%;;1,9%;0,7%;0,1%;
2041;0,0%;0,0%;0,0%;0,0%;0,2%;0,4%;0,4%;0,8%;0,3%;0,2%;0,1%;0,1%;;;2,5%;;1,8%;0,6%;0,1%;
2042;0,0%;0,0%;0,0%;0,0%;0,2%;0,4%;0,4%;0,7%;0,3%;0,1%;0,1%;0,1%;;;2,3%;;1,7%;0,5%;0,1%;
2043;0,0%;0,0%;0,0%;0,0%;0,2%;0,4%;0,3%;0,7%;0,2%;0,1%;0,1%;0,0%;;;2,1%;;1,6%;0,4%;0,0%;
2044;0,0%;0,0%;0,0%;0,0%;0,2%;0,4%;0,3%;0,6%;0,2%;0,1%;0,1%;0,0%;;;1,9%;;1,5%;0,4%;0,0%;
2045;0,0%;0,0%;0,0%;0,0%;0,2%;0,4%;0,2%;0,5%;0,1%;0,1%;0,1%;0,0%;;;1,7%;;1,4%;0,3%;0,0%;
2046;0,0%;0,0%;0,0%;0,0%;0,2%;0,4%;0,2%;0,5%;0,1%;0,1%;0,1%;;;;1,5%;;1,3%;0,3%;0,0%;
2047;0,0%;0,0%;0,0%;0,0%;0,2%;0,4%;0,2%;0,4%;0,1%;0,0%;0,1%;;;;1,4%;;1,2%;0,2%;0,0%;
