Data Figure 3.6 and 3.7: Data series on IMF voting power;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx sheet F5a (for GDP see DataF3.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI
1945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1946;100%;36%;37%;11%;2%;2%;0%;7%;6%;;0%;;7%;16%;;4%;1%;;5%;5%;33%;4%;;;;;2%;1%;1%;1%;5%;;;1%;1%;;;;0%;;;0%;;;;;;;1%;;;;7%;;;;;;5%;;;;0%;;;
1947;100%;38%;35%;11%;3%;2%;0%;7%;5%;;1%;;6%;15%;2%;3%;1%;;4%;4%;31%;4%;;;;;2%;1%;1%;1%;6%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;7%;;;;;;5%;;;;0%;;;
1948;100%;37%;36%;10%;3%;2%;0%;6%;5%;;1%;;6%;15%;2%;3%;1%;;5%;4%;30%;4%;2%;;;;2%;1%;1%;1%;5%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;6%;;;;;;5%;;;;0%;;;
1949;100%;38%;37%;8%;3%;2%;0%;6%;5%;;1%;;6%;15%;2%;3%;1%;;6%;4%;31%;4%;2%;;;;0%;1%;1%;1%;5%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;6%;;;;;;5%;;;;0%;0%;;
1950;100%;36%;37%;10%;3%;2%;0%;6%;6%;;1%;;6%;15%;2%;3%;1%;;6%;3%;31%;4%;2%;;;;2%;1%;1%;1%;5%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;6%;;;;;;5%;;;;0%;0%;;
1951;100%;36%;36%;10%;3%;2%;0%;6%;7%;;1%;;6%;14%;2%;3%;1%;;6%;3%;30%;4%;2%;;;;2%;1%;1%;1%;5%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;6%;;;;;;5%;;;1%;0%;0%;;0%
1952;100%;36%;35%;10%;3%;2%;0%;6%;8%;;1%;;6%;14%;2%;3%;1%;1%;5%;2%;29%;3%;2%;;;;2%;1%;1%;1%;5%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;6%;;;;;;5%;;0%;1%;0%;0%;;0%
1953;100%;37%;33%;9%;3%;2%;0%;8%;7%;4%;1%;;5%;13%;2%;3%;1%;1%;5%;2%;28%;3%;2%;;;;2%;1%;1%;1%;5%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;6%;3%;;;;;4%;;0%;1%;0%;0%;;0%
1954;100%;37%;32%;9%;3%;2%;0%;8%;8%;3%;1%;;5%;13%;2%;3%;1%;1%;5%;2%;27%;3%;2%;;;;2%;1%;1%;1%;5%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;6%;3%;;;;;4%;1%;0%;1%;0%;0%;;0%
