Data Figure 3.8a-3.8d: Country Shares in GDP and Population;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx sheet F5b, Population from A13s;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;US share in world GDP (MER);US share in world GDP (PPP);US share in world GDP (PPP) Persistent Inequality Scenario;US share in world population;CN share in world GDP (MER);CN share in world GDP (PPP);CN share in world GDP (PPP) Persistent Inequality Scenario;CN share in world population;IN share in world GDP (MER);IN share in world GDP (PPP);IN share in world GDP (PPP) Persistent Inequality Scenario;IN share in world population;Europe share in world GDP (MER);Europe share in world GDP (PPP);Europe share in world GDP (PPP) Persistent Inequality Scenario;Europe share in world population
1945;44%;31%;32%;6%;4%;6%;6%;22%;5%;4%;4%;14%;22%;25%;24%;16%
1946;42%;28%;28%;6%;4%;6%;6%;22%;5%;5%;5%;14%;23%;28%;27%;16%
1947;41%;27%;27%;6%;4%;6%;6%;22%;4%;4%;4%;14%;24%;28%;28%;16%
1948;41%;26%;27%;6%;4%;5%;5%;22%;4%;4%;4%;14%;22%;29%;29%;16%
1949;40%;25%;25%;6%;4%;5%;5%;22%;4%;4%;4%;14%;25%;31%;30%;16%
1950;41%;26%;26%;6%;3%;5%;5%;22%;3%;4%;4%;14%;24%;32%;31%;16%
1951;41%;26%;26%;6%;4%;5%;5%;22%;3%;4%;4%;14%;24%;31%;31%;16%
1952;40%;26%;26%;6%;4%;6%;6%;22%;3%;3%;3%;14%;25%;32%;31%;16%
1953;40%;25%;25%;6%;5%;6%;6%;22%;3%;4%;4%;14%;25%;32%;31%;16%
1954;39%;24%;25%;6%;4%;6%;6%;22%;2%;3%;3%;14%;26%;33%;32%;15%
1955;39%;24%;25%;6%;4%;6%;6%;22%;2%;3%;3%;14%;26%;33%;32%;15%
1956;37%;24%;24%;6%;5%;6%;6%;22%;2%;4%;4%;14%;26%;32%;32%;15%
1957;37%;23%;23%;6%;4%;6%;6%;22%;2%;3%;3%;14%;26%;33%;32%;15%
1958;36%;22%;22%;6%;4%;6%;6%;22%;3%;3%;3%;14%;27%;33%;32%;15%
1959;36%;23%;23%;6%;4%;5%;5%;22%;2%;3%;3%;14%;26%;33%;32%;15%
1960;35%;22%;22%;6%;4%;5%;5%;22%;2%;3%;3%;14%;26%;34%;33%;14%
1961;34%;22%;22%;6%;3%;3%;3%;21%;2%;3%;3%;15%;27%;34%;34%;14%
1962;34%;22%;22%;6%;3%;3%;3%;21%;2%;3%;3%;15%;28%;34%;34%;14%
1963;34%;22%;22%;6%;3%;3%;3%;21%;3%;3%;3%;15%;28%;34%;34%;14%
1964;33%;21%;22%;6%;3%;4%;4%;22%;3%;3%;3%;15%;28%;34%;33%;14%
1965;33%;22%;22%;6%;3%;4%;4%;22%;3%;3%;3%;15%;28%;33%;33%;14%
1966;34%;22%;22%;6%;3%;4%;4%;22%;2%;3%;3%;15%;28%;33%;33%;13%
1967;34%;22%;22%;6%;3%;3%;3%;22%;2%;3%;3%;15%;28%;33%;32%;13%
1968;34%;21%;22%;6%;3%;3%;3%;22%;2%;3%;3%;15%;27%;33%;32%;13%
1969;33%;21%;21%;6%;3%;3%;3%;22%;2%;3%;3%;15%;28%;33%;33%;13%
1970;32%;20%;20%;6%;3%;4%;4%;22%;2%;3%;3%;15%;28%;33%;33%;13%
1971;31%;20%;20%;6%;3%;4%;4%;22%;2%;3%;3%;15%;29%;33%;33%;13%
1972;29%;20%;20%;6%;3%;3%;3%;22%;2%;2%;3%;15%;30%;33%;32%;12%
1973;27%;19%;19%;5%;3%;3%;3%;23%;2%;2%;2%;15%;31%;33%;32%;12%
1974;26%;19%;19%;5%;2%;3%;3%;23%;2%;2%;2%;15%;30%;32%;32%;12%
1975;25%;18%;18%;5%;2%;4%;4%;23%;2%;2%;2%;15%;32%;32%;31%;12%
1976;26%;18%;18%;5%;2%;3%;3%;22%;1%;2%;2%;15%;31%;32%;31%;12%
1977;26%;18%;18%;5%;2%;3%;3%;22%;1%;2%;2%;15%;31%;31%;31%;12%
1978;24%;19%;19%;5%;2%;3%;3%;22%;1%;3%;3%;15%;32%;31%;31%;11%
1979;24%;18%;18%;5%;2%;4%;4%;22%;1%;2%;2%;15%;33%;31%;31%;11%
1980;23%;18%;18%;5%;2%;4%;4%;22%;1%;2%;2%;15%;33%;31%;31%;11%
1981;25%;18%;18%;5%;2%;4%;4%;22%;2%;3%;3%;16%;29%;31%;30%;11%
1982;27%;18%;18%;5%;2%;4%;4%;22%;2%;3%;3%;16%;29%;31%;30%;11%
1983;28%;18%;18%;5%;2%;4%;4%;22%;1,7%;3%;3%;16%;28%;30%;30%;11%
1984;31%;19%;19%;5%;2%;4%;4%;22%;1,6%;3%;3%;16%;26%;30%;30%;11%
1985;32%;19%;19%;5%;2%;5%;5%;22%;1,6%;3%;3%;16%;26%;30%;29%;10%
1986;29%;19%;19%;5%;2%;5%;5%;22%;1,6%;3%;3%;16%;30%;29%;29%;10%
1987;27%;19%;19%;5%;2%;5%;5%;22%;1,5%;3%;3%;16%;33%;29%;29%;10%
1988;26%;19%;19%;5%;2%;5%;5%;22%;1,5%;3%;3%;16%;33%;29%;29%;10%
1989;27%;19%;19%;5%;2%;5%;5%;22%;1,4%;3%;3%;16%;32%;29%;29%;10%
1990;26%;19%;19%;5%;2%;5%;5%;22%;1,4%;3%;3%;16%;35%;29%;29%;10%
1991;25%;19%;19%;5%;2%;5%;5%;22%;1,2%;3%;3%;16%;34%;29%;29%;10%
1992;25%;19%;19%;5%;2%;6%;6%;22%;1,1%;3%;3%;16%;35%;28%;28%;9%
1993;26%;19%;19%;5%;2%;6%;6%;21%;1,1%;3%;3%;16%;31%;28%;28%;9%
1994;26%;19%;19%;5%;2%;6%;6%;21%;1,1%;3%;3%;17%;31%;28%;28%;9%
1995;24%;19%;19%;5%;2%;7%;7%;21%;1,1%;3,6%;3,6%;17%;33%;27%;27%;9%
1996;25%;19%;19%;5%;3%;7%;7%;21%;1,2%;3,7%;3,7%;17%;33%;27%;27%;9%
1997;27%;19%;19%;5%;3%;7%;7%;21%;1,3%;3,7%;3,7%;17%;31%;27%;27%;9%
1998;29%;20%;20%;5%;3%;7%;7%;21%;1,3%;3,9%;3,9%;17%;32%;27%;27%;9%
1999;29%;20%;20%;5%;3%;7%;7%;21%;1,4%;4,1%;4,1%;17%;31%;27%;27%;9%
2000;30%;20%;20%;5%;4%;7%;7%;21%;1,4%;4,1%;4,1%;17%;28%;27%;26%;9%
2001;31%;20%;20%;5%;4%;8%;8%;20%;1,4%;4,2%;4,2%;17%;28%;27%;26%;8%
2002;31%;19%;19%;5%;4%;8%;8%;20%;1,4%;4,2%;4,2%;17%;30%;26%;26%;8%
2003;29%;19%;19%;5%;4%;9%;9%;20%;1,5%;4,3%;4,3%;17%;32%;26%;25%;8%
2004;28%;19%;19%;5%;4%;9%;9%;20%;1,5%;4,4%;4,4%;17%;33%;25%;25%;8%
2005;27%;19%;19%;4%;5%;10%;10%;20%;1,7%;4,6%;4,6%;18%;32%;25%;24%;8%
2006;27%;18%;18%;4%;5%;10%;10%;20%;1,7%;4,7%;4,7%;18%;32%;24%;24%;8%
2007;25%;18%;18%;4%;6%;11%;11%;20%;2,0%;4,8%;4,8%;18%;32%;24%;24%;8%
2008;23%;17%;17%;4%;7%;11%;11%;19%;1,9%;4,9%;4,9%;18%;32%;23%;23%;8%
2009;24%;17%;17%;4%;8%;12%;12%;19%;2,1%;5,3%;5,3%;18%;30%;23%;22%;8%
2010;23%;17%;17%;4%;9%;13%;13%;19%;2,4%;5,5%;5,5%;18%;27%;22%;22%;8%
2011;21%;16%;16%;4%;10%;13%;13%;19%;2,4%;5,6%;5,6%;18%;27%;22%;21%;8%
2012;21%;16%;16%;4%;11%;14%;14%;19%;2,4%;5,7%;5,7%;18%;25%;21%;21%;8%
2013;22%;16%;16%;4%;12%;14%;14%;19%;2,4%;5,9%;5,9%;18%;25%;20%;20%;7%
2014;22%;16%;16%;4%;13%;15%;15%;19%;2,5%;6,1%;6,1%;18%;25%;20%;20%;7%
2015;24%;16%;16%;4%;15%;15%;15%;19%;2,8%;6,3%;6,3%;18%;23%;20%;20%;7%
2016;25%;16%;16%;4%;15%;16%;16%;19%;3%;6,7%;6,7%;18%;23%;20%;19%;7%
2017;24%;15%;15%;4%;15%;16%;16%;18%;3%;6,9%;6,9%;18%;23%;19%;19%;7%
2018;24%;15%;15%;4%;16%;17%;17%;18%;3%;7,1%;7,1%;18%;23%;19%;19%;7%
2019;25%;15%;15%;4%;16%;17%;17%;18%;3%;7,2%;7,2%;18%;23%;19%;19%;7%
