Data Figure 3.9: Data series on IMF voting power 1945-2025 and GJF-UNCB voting power 2026-2100 (population-based 2050-2100, linear transition 2026-2050);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CN 2050 MER;15,0%;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx sheet F5b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CN 2050 PPP;16,0%;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(corrected CN share in world GDP: Planet paper projections too small due to excessively fast reduction in labour hours; to be revised in the next revsion of Planet paper)";;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;US share in world GDP (MER);US share in world GDP (PPP);US share in world population;CN share in world GDP (MER);CN share in world GDP (PPP);CN share in world population;IN share in world GDP (MER);IN share in world GDP (PPP);IN share in world population;Europe share in world GDP (MER);Europe share in world GDP (PPP);Europe share in world population
1945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44%;31%;6%;4%;6%;22%;5%;4%;14%;22%;25%;16%
1946;100%;36%;37%;11%;2%;2%;0%;7%;6%;;0%;;7%;16%;;4%;1%;;5%;5%;33%;4%;;;;;2%;1%;1%;1%;5%;;;1%;1%;;;;0%;;;0%;;;;;;;1%;;;;7%;;;;;;5%;;;;0%;;;;42%;28%;6%;4%;6%;22%;5%;5%;14%;23%;28%;16%
1947;100%;38%;35%;11%;3%;2%;0%;7%;5%;;1%;;6%;15%;2%;3%;1%;;4%;4%;31%;4%;;;;;2%;1%;1%;1%;6%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;7%;;;;;;5%;;;;0%;;;;41%;27%;6%;4%;6%;22%;4%;4%;14%;24%;28%;16%
1948;100%;37%;36%;10%;3%;2%;0%;6%;5%;;1%;;6%;15%;2%;3%;1%;;5%;4%;30%;4%;2%;;;;2%;1%;1%;1%;5%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;6%;;;;;;5%;;;;0%;;;;41%;26%;6%;4%;5%;22%;4%;4%;14%;22%;29%;16%
1949;100%;38%;37%;8%;3%;2%;0%;6%;5%;;1%;;6%;15%;2%;3%;1%;;6%;4%;31%;4%;2%;;;;0%;1%;1%;1%;5%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;6%;;;;;;5%;;;;0%;0%;;;40%;25%;6%;4%;5%;22%;4%;4%;14%;25%;31%;16%
1950;100%;36%;37%;10%;3%;2%;0%;6%;6%;;1%;;6%;15%;2%;3%;1%;;6%;3%;31%;4%;2%;;;;2%;1%;1%;1%;5%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;6%;;;;;;5%;;;;0%;0%;;;41%;26%;6%;3%;5%;22%;3%;4%;14%;24%;32%;16%
1951;100%;36%;36%;10%;3%;2%;0%;6%;7%;;1%;;6%;14%;2%;3%;1%;;6%;3%;30%;4%;2%;;;;2%;1%;1%;1%;5%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;6%;;;;;;5%;;;1%;0%;0%;;0%;41%;26%;6%;4%;5%;22%;3%;4%;14%;24%;31%;16%
1952;100%;36%;35%;10%;3%;2%;0%;6%;8%;;1%;;6%;14%;2%;3%;1%;1%;5%;2%;29%;3%;2%;;;;2%;1%;1%;1%;5%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;6%;;;;;;5%;;0%;1%;0%;0%;;0%;40%;26%;6%;4%;6%;22%;3%;3%;14%;25%;32%;16%
1953;100%;37%;33%;9%;3%;2%;0%;8%;7%;4%;1%;;5%;13%;2%;3%;1%;1%;5%;2%;28%;3%;2%;;;;2%;1%;1%;1%;5%;;;1%;1%;;;1%;1%;;;0%;;;;;;;1%;;;;6%;3%;;;;;4%;;0%;1%;0%;0%;;0%;40%;25%;6%;5%;6%;22%;3%;4%;14%;25%;32%;16%
