"Data Figure 4.3: Fig. 4.3. The Global Justice Platform without the US: 
Climate Impact and Corrective Tax";;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDamage.xlsx sheet y;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
United States;;;;;;;;;;;;;;;;;;;;;
Year;SC2-FD GDP ROW;Temperature difference without US;Damage induced on ROW;US exports;Tariff;;Figure;;;;;;;;;;;;;;
2026;121;0,00;0;3;0%;;Temperature with US;1,80;;;;;;;;;;;;;
2027;123;0,00;0;3;0%;;Temperature without US;2,04;;;;;;;;;;;;;
2028;125;0,00;0;4;0%;;GDP damage;3%;;;;;;;;;;;;;
2029;128;0,00;0;4;0%;;Corrective tariff;77%;;;;;;;;;;;;;
2030;131;0,00;0;4;0%;;;;;;;;;;;;;;;;
2031;134;0,00;0;4;1%;;;;;;;;;;;;;;;;
2032;137;0,00;0;5;1%;;;;;;;;;;;;;;;;
2033;140;0,00;0;5;2%;;;;;;;;;;;;;;;;
2034;143;0,00;0;5;2%;;;;;;;;;;;;;;;;
2035;146;0,00;0;6;3%;;;;;;;;;;;;;;;;
2036;150;0,01;0;6;3%;;;;;;;;;;;;;;;;
2037;154;0,01;0;6;4%;;;;;;;;;;;;;;;;
2038;158;0,01;0;7;5%;;;;;;;;;;;;;;;;
2039;162;0,01;0;7;6%;;;;;;;;;;;;;;;;
2040;167;0,01;0;8;6%;;;;;;;;;;;;;;;;
2041;172;0,01;1;8;7%;;;;;;;;;;;;;;;;
2042;177;0,02;1;8;8%;;;;;;;;;;;;;;;;
2043;182;0,02;1;9;9%;;;;;;;;;;;;;;;;
2044;188;0,02;1;9;10%;;;;;;;;;;;;;;;;
2045;195;0,02;1;10;11%;;;;;;;;;;;;;;;;
2046;201;0,03;1;10;12%;;;;;;;;;;;;;;;;
2047;209;0,03;1;11;13%;;;;;;;;;;;;;;;;
2048;216;0,03;2;11;14%;;;;;;;;;;;;;;;;
2049;224;0,04;2;12;16%;;;;;;;;;;;;;;;;
2050;233;0,04;2;13;17%;;;;;;;;;;;;;;;;
2051;238;0,04;2;13;19%;;;;;;;;;;;;;;;;
2052;244;0,05;3;13;20%;;;;;;;;;;;;;;;;
2053;249;0,05;3;13;22%;;;;;;;;;;;;;;;;
2054;254;0,05;3;13;24%;;;;;;;;;;;;;;;;
2055;260;0,06;3;13;27%;;;;;;;;;;;;;;;;
2056;266;0,06;4;13;29%;;;;;;;;;;;;;;;;
2057;271;0,06;4;13;31%;;;;;;;;;;;;;;;;
2058;277;0,07;4;13;33%;;;;;;;;;;;;;;;;
2059;283;0,07;5;13;36%;;;;;;;;;;;;;;;;
2060;289;0,08;5;13;38%;;;;;;;;;;;;;;;;
2061;295;0,08;5;13;41%;;;;;;;;;;;;;;;;
2062;301;0,08;6;13;44%;;;;;;;;;;;;;;;;
2063;307;0,09;6;13;47%;;;;;;;;;;;;;;;;
2064;314;0,09;7;13;50%;;;;;;;;;;;;;;;;
2065;320;0,09;7;13;53%;;;;;;;;;;;;;;;;
2066;327;0,10;7;13;56%;;;;;;;;;;;;;;;;
2067;333;0,10;8;13;59%;;;;;;;;;;;;;;;;
2068;340;0,10;8;13;62%;;;;;;;;;;;;;;;;
2069;347;0,11;9;13;66%;;;;;;;;;;;;;;;;
2070;354;0,11;9;13;69%;;;;;;;;;;;;;;;;
2071;361;0,12;10;13;73%;;;;;;;;;;;;;;;;
2072;369;0,12;10;13;77%;;;;;;;;;;;;;;;;
2073;376;0,12;11;13;82%;;;;;;;;;;;;;;;;
2074;384;0,13;11;13;86%;;;;;;;;;;;;;;;;
2075;391;0,13;12;13;91%;;;;;;;;;;;;;;;;
2076;399;0,13;13;13;95%;;;;;;;;;;;;;;;;
2077;407;0,14;13;13;101%;;;;;;;;;;;;;;;;
2078;415;0,14;14;13;106%;;;;;;;;;;;;;;;;
2079;423;0,15;14;13;112%;;;;;;;;;;;;;;;;
2080;431;0,15;15;13;118%;;;;;;;;;;;;;;;;
2081;436;0,16;16;13;119%;;;;;;;;;;;;;;;;
2082;441;0,16;16;14;121%;;;;;;;;;;;;;;;;
2083;447;0,16;17;14;122%;;;;;;;;;;;;;;;;
2084;452;0,17;18;14;123%;;;;;;;;;;;;;;;;
2085;457;0,17;18;15;125%;;;;;;;;;;;;;;;;
2086;462;0,18;19;15;126%;;;;;;;;;;;;;;;;
2087;467;0,18;20;15;127%;;;;;;;;;;;;;;;;
2088;473;0,19;20;16;129%;;;;;;;;;;;;;;;;
2089;478;0,19;21;16;130%;;;;;;;;;;;;;;;;
2090;483;0,19;22;17;131%;;;;;;;;;;;;;;;;
2091;489;0,20;23;17;133%;;;;;;;;;;;;;;;;
2092;494;0,20;24;18;134%;;;;;;;;;;;;;;;;
2093;500;0,21;24;18;135%;;;;;;;;;;;;;;;;
2094;505;0,21;25;19;136%;;;;;;;;;;;;;;;;
2095;511;0,22;26;19;138%;;;;;;;;;;;;;;;;
2096;516;0,22;27;19;139%;;;;;;;;;;;;;;;;
2097;522;0,23;28;20;140%;;;;;;;;;;;;;;;;
2098;528;0,24;29;20;141%;;;;;;;;;;;;;;;;
2099;534;0,24;30;21;143%;;;;;;;;;;;;;;;;
2100;539;0,25;31;22;144%;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Total;23674;;701;913;77%;;;;;;;;;;;;;;;;
;;;3,0%;;;;;;;;;;;;;;;;;;
