"Data Figure 4.4: The Global Justice Platform without China
Climate Impact and Corrective Tax";;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDamage.xlsx sheet y;;;;;;;;;
;;;;;;;;;
China;;;;;;;;;
Year;SC2-FD GDP ROW;Temperature difference without China;Damage induced on ROW;China exports;Tariff;;Figure;;
2026;114;0,00;0;3;0%;;Temperature with China;1,80;
2027;116;0,00;0;4;0%;;Temperature without China;2,32;
2028;119;0,00;0;4;1%;;GDP damage;8,1%;
2029;122;0,00;0;4;1%;;Corrective tariff;182%;
2030;125;0,00;0;4;2%;;;;
2031;128;0,01;0;4;4%;;;;
2032;131;0,01;0;4;6%;;;;
2033;134;0,01;0;5;9%;;;;
2034;138;0,02;1;5;13%;;;;
2035;141;0,02;1;5;17%;;;;
2036;145;0,03;1;5;22%;;;;
2037;149;0,04;1;5;27%;;;;
2038;154;0,05;2;5;32%;;;;
2039;158;0,06;2;5;39%;;;;
2040;163;0,06;2;5;45%;;;;
2041;168;0,07;3;6;52%;;;;
2042;174;0,08;3;6;59%;;;;
2043;180;0,09;4;6;67%;;;;
2044;186;0,10;5;6;75%;;;;
2045;192;0,12;5;6;83%;;;;
2046;199;0,13;6;6;92%;;;;
2047;207;0,14;7;6;102%;;;;
2048;215;0,15;7;7;112%;;;;
2049;223;0,16;8;7;122%;;;;
2050;232;0,17;9;7;133%;;;;
2051;237;0,18;10;7;140%;;;;
2052;242;0,20;11;8;147%;;;;
2053;247;0,21;12;8;153%;;;;
2054;252;0,22;13;8;159%;;;;
2055;257;0,23;14;8;165%;;;;
2056;262;0,24;15;9;170%;;;;
2057;268;0,26;16;9;175%;;;;
2058;273;0,27;17;9;180%;;;;
2059;279;0,28;18;10;184%;;;;
2060;284;0,29;19;10;188%;;;;
2061;290;0,30;20;10;192%;;;;
2062;296;0,31;21;11;195%;;;;
2063;302;0,32;22;11;198%;;;;
2064;308;0,32;23;12;200%;;;;
2065;314;0,33;24;12;202%;;;;
2066;320;0,34;25;12;204%;;;;
2067;326;0,35;26;13;205%;;;;
2068;333;0,36;28;13;207%;;;;
2069;339;0,36;29;14;208%;;;;
2070;346;0,37;30;14;208%;;;;
2071;353;0,38;31;15;209%;;;;
2072;360;0,38;32;15;209%;;;;
2073;367;0,39;33;16;210%;;;;
2074;374;0,40;34;16;210%;;;;
2075;381;0,40;36;17;210%;;;;
2076;388;0,41;37;18;209%;;;;
2077;396;0,41;38;18;209%;;;;
2078;404;0,42;39;19;209%;;;;
2079;411;0,42;41;20;208%;;;;
2080;419;0,43;42;20;208%;;;;
2081;424;0,43;43;21;207%;;;;
2082;429;0,44;44;21;207%;;;;
2083;434;0,44;45;22;207%;;;;
2084;439;0,45;46;22;207%;;;;
2085;445;0,45;47;23;206%;;;;
2086;450;0,46;48;23;206%;;;;
2087;455;0,46;49;24;205%;;;;
2088;460;0,47;50;24;205%;;;;
2089;465;0,47;51;25;204%;;;;
2090;471;0,48;52;26;204%;;;;
2091;476;0,48;53;26;203%;;;;
2092;482;0,48;54;27;202%;;;;
2093;487;0,49;55;27;202%;;;;
2094;492;0,49;57;28;201%;;;;
2095;498;0,50;58;29;200%;;;;
2096;504;0,50;59;30;199%;;;;
2097;509;0,51;60;30;199%;;;;
2098;515;0,51;61;31;198%;;;;
2099;521;0,51;62;32;197%;;;;
2100;527;0,52;64;32;196%;;;;
;;;;;;;;;
;23120;;1883;1036;182%;;;;
;;;8,1%;;;;;;
